Scenario,Metric,Algorithm,Rank,Score,Percentage
Micro,ResourceUtilCPU,GA,1,0.4178,100.00
Micro,ResourceUtilCPU,FirstFit,2,0.3930,72.88
Micro,ResourceUtilCPU,HO,3,0.3261,0.00
Micro,ResourceUtilRAM,GA,1,0.2891,100.00
Micro,ResourceUtilRAM,FirstFit,2,0.2766,79.22
Micro,ResourceUtilRAM,HO,3,0.2289,0.00
Micro,PowerConsumption,FirstFit,1,980.0000,100.00
Micro,PowerConsumption,HO,2,980.0000,100.00
Micro,PowerConsumption,GA,3,980.0000,100.00
Micro,ExecutionTime,FirstFit,1,0.0783,100.00
Micro,ExecutionTime,GA,2,0.0795,97.44
Micro,ExecutionTime,HO,3,0.1252,-0.00
Small,ResourceUtilCPU,FirstFit,1,0.7522,100.00
Small,ResourceUtilCPU,GA,2,0.7520,99.45
Small,ResourceUtilCPU,HO,3,0.7165,0.00
Small,ResourceUtilRAM,FirstFit,1,0.5653,100.00
Small,ResourceUtilRAM,GA,2,0.5652,99.47
Small,ResourceUtilRAM,HO,3,0.5356,0.00
Small,PowerConsumption,FirstFit,1,2310.0000,100.00
Small,PowerConsumption,HO,2,2310.0000,100.00
Small,PowerConsumption,GA,3,2310.0000,100.00
Small,ExecutionTime,FirstFit,1,0.6135,100.00
Small,ExecutionTime,GA,2,0.6172,50.67
Small,ExecutionTime,HO,3,0.6210,-0.00
Medium,ResourceUtilCPU,GA,1,0.7361,100.00
Medium,ResourceUtilCPU,FirstFit,2,0.7357,98.68
Medium,ResourceUtilCPU,HO,3,0.7061,0.00
Medium,ResourceUtilRAM,GA,1,0.5625,100.00
Medium,ResourceUtilRAM,FirstFit,2,0.5622,98.45
Medium,ResourceUtilRAM,HO,3,0.5424,0.00
Medium,PowerConsumption,FirstFit,1,4620.0000,100.00
Medium,PowerConsumption,HO,2,4620.0000,100.00
Medium,PowerConsumption,GA,3,4620.0000,100.00
Medium,ExecutionTime,FirstFit,1,1.1403,100.00
Medium,ExecutionTime,GA,2,1.1406,98.64
Medium,ExecutionTime,HO,3,1.1623,-0.00
