Algorithm1,Algorithm2,Scenario,Metric,Mean1,Mean2,Difference,PercentageDiff,BetterAlgorithm
HO,FirstFit,Micro,ResourceUtilCPU,0.3261,0.3930,-0.0668,-17.01,FirstFit
HO,FirstFit,Micro,ResourceUtilRAM,0.2289,0.2766,-0.0477,-17.23,FirstFit
HO,FirstFit,Micro,PowerConsumption,980.0000,980.0000,0.0000,0.00,FirstFit
HO,FirstFit,Micro,ExecutionTime,0.1252,0.0783,0.0469,59.90,FirstFit
HO,FirstFit,Small,ResourceUtilCPU,0.7165,0.7522,-0.0357,-4.75,FirstFit
HO,FirstFit,Small,ResourceUtilRAM,0.5356,0.5653,-0.0297,-5.25,FirstFit
HO,FirstFit,Small,PowerConsumption,2310.0000,2310.0000,0.0000,0.00,FirstFit
HO,FirstFit,Small,ExecutionTime,0.6210,0.6135,0.0075,1.22,FirstFit
HO,FirstFit,Medium,ResourceUtilCPU,0.7061,0.7357,-0.0297,-4.03,FirstFit
HO,FirstFit,Medium,ResourceUtilRAM,0.5424,0.5622,-0.0198,-3.53,FirstFit
HO,FirstFit,Medium,PowerConsumption,4620.0000,4620.0000,0.0000,0.00,FirstFit
HO,FirstFit,Medium,ExecutionTime,1.1623,1.1403,0.0220,1.93,FirstFit
HO,GA,Micro,ResourceUtilCPU,0.3261,0.4178,-0.0917,-21.95,GA
HO,GA,Micro,ResourceUtilRAM,0.2289,0.2891,-0.0602,-20.81,GA
HO,GA,Micro,PowerConsumption,980.0000,980.0000,0.0000,0.00,GA
HO,GA,Micro,ExecutionTime,0.1252,0.0795,0.0457,57.48,GA
HO,GA,Small,ResourceUtilCPU,0.7165,0.7520,-0.0355,-4.72,GA
HO,GA,Small,ResourceUtilRAM,0.5356,0.5652,-0.0295,-5.22,GA
HO,GA,Small,PowerConsumption,2310.0000,2310.0000,0.0000,0.00,GA
HO,GA,Small,ExecutionTime,0.6210,0.6172,0.0038,0.62,GA
HO,GA,Medium,ResourceUtilCPU,0.7061,0.7361,-0.0301,-4.08,GA
HO,GA,Medium,ResourceUtilRAM,0.5424,0.5625,-0.0201,-3.58,GA
HO,GA,Medium,PowerConsumption,4620.0000,4620.0000,0.0000,0.00,GA
HO,GA,Medium,ExecutionTime,1.1623,1.1406,0.0217,1.90,GA
FirstFit,GA,Micro,ResourceUtilCPU,0.3930,0.4178,-0.0249,-5.95,GA
FirstFit,GA,Micro,ResourceUtilRAM,0.2766,0.2891,-0.0125,-4.32,GA
FirstFit,GA,Micro,PowerConsumption,980.0000,980.0000,0.0000,0.00,GA
FirstFit,GA,Micro,ExecutionTime,0.0783,0.0795,-0.0012,-1.51,FirstFit
FirstFit,GA,Small,ResourceUtilCPU,0.7522,0.7520,0.0002,0.03,FirstFit
FirstFit,GA,Small,ResourceUtilRAM,0.5653,0.5652,0.0002,0.03,FirstFit
FirstFit,GA,Small,PowerConsumption,2310.0000,2310.0000,0.0000,0.00,GA
FirstFit,GA,Small,ExecutionTime,0.6135,0.6172,-0.0037,-0.60,FirstFit
FirstFit,GA,Medium,ResourceUtilCPU,0.7357,0.7361,-0.0004,-0.05,GA
FirstFit,GA,Medium,ResourceUtilRAM,0.5622,0.5625,-0.0003,-0.06,GA
FirstFit,GA,Medium,PowerConsumption,4620.0000,4620.0000,0.0000,0.00,GA
FirstFit,GA,Medium,ExecutionTime,1.1403,1.1406,-0.0003,-0.03,FirstFit
