Scenario,Metric,Algorithm,Rank,Score,Percentage
Micro,ResourceUtilCPU,GA,1,0.4178,100.00
Micro,ResourceUtilCPU,FirstFit,2,0.3930,75.65
Micro,ResourceUtilCPU,HO,3,0.3157,0.00
Micro,ResourceUtilRAM,GA,1,0.2891,100.00
Micro,ResourceUtilRAM,FirstFit,2,0.2766,79.62
Micro,ResourceUtilRAM,HO,3,0.2277,0.00
Micro,PowerConsumption,FirstFit,1,980.0000,100.00
Micro,PowerConsumption,HO,2,980.0000,100.00
Micro,PowerConsumption,GA,3,980.0000,100.00
Micro,ExecutionTime,GA,1,0.0643,100.00
Micro,ExecutionTime,FirstFit,2,0.0647,99.53
Micro,ExecutionTime,HO,3,0.1497,-0.00
Small,ResourceUtilCPU,FirstFit,1,0.7522,100.00
Small,ResourceUtilCPU,GA,2,0.7520,99.86
Small,ResourceUtilCPU,HO,3,0.6084,0.00
Small,ResourceUtilRAM,FirstFit,1,0.5653,100.00
Small,ResourceUtilRAM,GA,2,0.5652,99.84
Small,ResourceUtilRAM,HO,3,0.4650,0.00
Small,PowerConsumption,FirstFit,1,2310.0000,100.00
Small,PowerConsumption,HO,2,2310.0000,100.00
Small,PowerConsumption,GA,3,2310.0000,100.00
Small,ExecutionTime,FirstFit,1,0.6013,100.00
Small,ExecutionTime,GA,2,0.6136,99.98
Small,ExecutionTime,HO,3,61.0300,-0.00
Medium,ResourceUtilCPU,GA,1,0.7361,100.00
Medium,ResourceUtilCPU,FirstFit,2,0.7357,99.64
Medium,ResourceUtilCPU,HO,3,0.6248,0.00
Medium,ResourceUtilRAM,GA,1,0.5625,100.00
Medium,ResourceUtilRAM,FirstFit,2,0.5622,99.64
Medium,ResourceUtilRAM,HO,3,0.4751,0.00
Medium,PowerConsumption,FirstFit,1,4620.0000,100.00
Medium,PowerConsumption,HO,2,4620.0000,100.00
Medium,PowerConsumption,GA,3,4620.0000,100.00
Medium,ExecutionTime,GA,1,1.1250,100.00
Medium,ExecutionTime,HO,2,1.1279,60.27
Medium,ExecutionTime,FirstFit,3,1.1323,-0.00
