Algorithm1,Algorithm2,Scenario,Metric,Mean1,Mean2,Difference,PercentageDiff,BetterAlgorithm
HO,FirstFit,Micro,ResourceUtilCPU,0.3157,0.3930,-0.0773,-19.66,FirstFit
HO,FirstFit,Micro,ResourceUtilRAM,0.2277,0.2766,-0.0488,-17.66,FirstFit
HO,FirstFit,Micro,PowerConsumption,980.0000,980.0000,0.0000,0.00,FirstFit
HO,FirstFit,Micro,ExecutionTime,0.1497,0.0647,0.0850,131.38,FirstFit
HO,FirstFit,Small,ResourceUtilCPU,0.6084,0.7522,-0.1438,-19.12,FirstFit
HO,FirstFit,Small,ResourceUtilRAM,0.4650,0.5653,-0.1003,-17.74,FirstFit
HO,FirstFit,Small,PowerConsumption,2310.0000,2310.0000,0.0000,0.00,FirstFit
HO,FirstFit,Small,ExecutionTime,61.0300,0.6013,60.4287,10049.68,FirstFit
HO,FirstFit,Medium,ResourceUtilCPU,0.6248,0.7357,-0.1109,-15.07,FirstFit
HO,FirstFit,Medium,ResourceUtilRAM,0.4751,0.5622,-0.0871,-15.49,FirstFit
HO,FirstFit,Medium,PowerConsumption,4620.0000,4620.0000,0.0000,0.00,FirstFit
HO,FirstFit,Medium,ExecutionTime,1.1279,1.1323,-0.0044,-0.39,HO
HO,GA,Micro,ResourceUtilCPU,0.3157,0.4178,-0.1021,-24.45,GA
HO,GA,Micro,ResourceUtilRAM,0.2277,0.2891,-0.0613,-21.22,GA
HO,GA,Micro,PowerConsumption,980.0000,980.0000,0.0000,0.00,GA
HO,GA,Micro,ExecutionTime,0.1497,0.0643,0.0854,132.81,GA
HO,GA,Small,ResourceUtilCPU,0.6084,0.7520,-0.1436,-19.10,GA
HO,GA,Small,ResourceUtilRAM,0.4650,0.5652,-0.1001,-17.72,GA
HO,GA,Small,PowerConsumption,2310.0000,2310.0000,0.0000,0.00,GA
HO,GA,Small,ExecutionTime,61.0300,0.6136,60.4164,9846.22,GA
HO,GA,Medium,ResourceUtilCPU,0.6248,0.7361,-0.1113,-15.12,GA
HO,GA,Medium,ResourceUtilRAM,0.4751,0.5625,-0.0874,-15.54,GA
HO,GA,Medium,PowerConsumption,4620.0000,4620.0000,0.0000,0.00,GA
HO,GA,Medium,ExecutionTime,1.1279,1.1250,0.0029,0.26,GA
FirstFit,GA,Micro,ResourceUtilCPU,0.3930,0.4178,-0.0249,-5.95,GA
FirstFit,GA,Micro,ResourceUtilRAM,0.2766,0.2891,-0.0125,-4.32,GA
FirstFit,GA,Micro,PowerConsumption,980.0000,980.0000,0.0000,0.00,GA
FirstFit,GA,Micro,ExecutionTime,0.0647,0.0643,0.0004,0.62,GA
FirstFit,GA,Small,ResourceUtilCPU,0.7522,0.7520,0.0002,0.03,FirstFit
FirstFit,GA,Small,ResourceUtilRAM,0.5653,0.5652,0.0002,0.03,FirstFit
FirstFit,GA,Small,PowerConsumption,2310.0000,2310.0000,0.0000,0.00,GA
FirstFit,GA,Small,ExecutionTime,0.6013,0.6136,-0.0123,-2.00,FirstFit
FirstFit,GA,Medium,ResourceUtilCPU,0.7357,0.7361,-0.0004,-0.05,GA
FirstFit,GA,Medium,ResourceUtilRAM,0.5622,0.5625,-0.0003,-0.06,GA
FirstFit,GA,Medium,PowerConsumption,4620.0000,4620.0000,0.0000,0.00,GA
FirstFit,GA,Medium,ExecutionTime,1.1323,1.1250,0.0073,0.65,GA
