Algorithm,Scenario,Replication,Iteration,BestFitness,AverageFitness,PopulationDiversity,ImprovementRate,Timestamp
HO,Micro,0,24,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Micro,1,24,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Micro,2,21,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Micro,3,24,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Micro,4,24,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Micro,5,22,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Micro,6,22,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Micro,7,21,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Micro,8,22,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Micro,9,21,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Small,0,60,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Small,1,60,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Small,2,70,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Small,3,101,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Small,4,90,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Small,5,79,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Small,6,41,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Small,7,79,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Small,8,31,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Small,9,72,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6562367
HO,Medium,0,101,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6648054
HO,Medium,1,98,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6648054
HO,Medium,2,101,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6658113
HO,Medium,3,101,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6658113
HO,Medium,4,101,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6668107
HO,Medium,5,75,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6668107
HO,Medium,6,92,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6675882
HO,Medium,7,61,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6675882
HO,Medium,8,79,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6675882
HO,Medium,9,101,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6675882
GA,Micro,0,19,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6675882
GA,Micro,1,26,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6675882
GA,Micro,2,15,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6675882
GA,Micro,3,11,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6675882
GA,Micro,4,29,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6675882
GA,Micro,5,16,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6675882
GA,Micro,6,18,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6675882
GA,Micro,7,25,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6675882
GA,Micro,8,15,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6675882
GA,Micro,9,20,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6675882
GA,Small,0,20,0.000000,0.000000,0.0000,0.000000,2025-09-12T16:37:23.6675882
