AlphaValue,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,LeaderInfluence
0.50,Micro,0.3157,0.2277,980.00,0.1497,0.55
0.50,Small,0.6084,0.4650,2310.00,61.0300,0.55
0.50,Medium,0.6248,0.4751,4620.00,1.1279,0.55
0.60,Micro,0.3157,0.2277,980.00,0.1497,0.64
0.60,Small,0.6084,0.4650,2310.00,61.0300,0.64
0.60,Medium,0.6248,0.4751,4620.00,1.1279,0.64
0.70,Micro,0.3157,0.2277,980.00,0.1497,0.73
0.70,Small,0.6084,0.4650,2310.00,61.0300,0.73
0.70,Medium,0.6248,0.4751,4620.00,1.1279,0.73
0.75,Micro,0.3157,0.2277,980.00,0.1497,0.78
0.75,Small,0.6084,0.4650,2310.00,61.0300,0.78
0.75,Medium,0.6248,0.4751,4620.00,1.1279,0.78
0.80,Micro,0.3157,0.2277,980.00,0.1497,0.82
0.80,Small,0.6084,0.4650,2310.00,61.0300,0.82
0.80,Medium,0.6248,0.4751,4620.00,1.1279,0.82
0.90,Micro,0.3157,0.2277,980.00,0.1497,0.91
0.90,Small,0.6084,0.4650,2310.00,61.0300,0.91
0.90,Medium,0.6248,0.4751,4620.00,1.1279,0.91
