BetaValue,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ExplorationLevel
0.10,Micro,0.3157,0.2277,980.00,0.1497,0.20
0.10,Small,0.6084,0.4650,2310.00,61.0300,0.20
0.10,Medium,0.6248,0.4751,4620.00,1.1279,0.20
0.15,Micro,0.3157,0.2277,980.00,0.1497,0.30
0.15,Small,0.6084,0.4650,2310.00,61.0300,0.30
0.15,Medium,0.6248,0.4751,4620.00,1.1279,0.30
0.20,Micro,0.3157,0.2277,980.00,0.1497,0.40
0.20,Small,0.6084,0.4650,2310.00,61.0300,0.40
0.20,Medium,0.6248,0.4751,4620.00,1.1279,0.40
0.25,Micro,0.3157,0.2277,980.00,0.1497,0.50
0.25,Small,0.6084,0.4650,2310.00,61.0300,0.50
0.25,Medium,0.6248,0.4751,4620.00,1.1279,0.50
0.30,Micro,0.3157,0.2277,980.00,0.1497,0.60
0.30,Small,0.6084,0.4650,2310.00,61.0300,0.60
0.30,Medium,0.6248,0.4751,4620.00,1.1279,0.60
0.40,Micro,0.3157,0.2277,980.00,0.1497,0.80
0.40,Small,0.6084,0.4650,2310.00,61.0300,0.80
0.40,Medium,0.6248,0.4751,4620.00,1.1279,0.80
