GammaValue,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ExploitationLevel
0.05,Micro,0.3157,0.2277,980.00,0.1497,0.15
0.05,Small,0.6084,0.4650,2310.00,61.0300,0.15
0.05,Medium,0.6248,0.4751,4620.00,1.1279,0.15
0.10,Micro,0.3157,0.2277,980.00,0.1497,0.30
0.10,Small,0.6084,0.4650,2310.00,61.0300,0.30
0.10,Medium,0.6248,0.4751,4620.00,1.1279,0.30
0.15,Micro,0.3157,0.2277,980.00,0.1497,0.45
0.15,Small,0.6084,0.4650,2310.00,61.0300,0.45
0.15,Medium,0.6248,0.4751,4620.00,1.1279,0.45
0.20,Micro,0.3157,0.2277,980.00,0.1497,0.60
0.20,Small,0.6084,0.4650,2310.00,61.0300,0.60
0.20,Medium,0.6248,0.4751,4620.00,1.1279,0.60
0.25,Micro,0.3157,0.2277,980.00,0.1497,0.75
0.25,Small,0.6084,0.4650,2310.00,61.0300,0.75
0.25,Medium,0.6248,0.4751,4620.00,1.1279,0.75
0.30,Micro,0.3157,0.2277,980.00,0.1497,0.90
0.30,Small,0.6084,0.4650,2310.00,61.0300,0.90
0.30,Medium,0.6248,0.4751,4620.00,1.1279,0.90
