MaxIterations,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ConvergenceQuality
80,Micro,0.3157,0.2277,980.00,0.1497,0.66
80,Small,0.6084,0.4650,2310.00,61.0300,0.66
80,Medium,0.6248,0.4751,4620.00,1.1279,0.66
120,Micro,0.3157,0.2277,980.00,0.1497,0.74
120,Small,0.6084,0.4650,2310.00,61.0300,0.74
120,Medium,0.6248,0.4751,4620.00,1.1279,0.74
150,Micro,0.3157,0.2277,980.00,0.1497,0.80
150,Small,0.6084,0.4650,2310.00,61.0300,0.80
150,Medium,0.6248,0.4751,4620.00,1.1279,0.80
200,Micro,0.3157,0.2277,980.00,0.1497,0.90
200,Small,0.6084,0.4650,2310.00,61.0300,0.90
200,Medium,0.6248,0.4751,4620.00,1.1279,0.90
250,Micro,0.3157,0.2277,980.00,0.1497,0.98
250,Small,0.6084,0.4650,2310.00,61.0300,0.98
250,Medium,0.6248,0.4751,4620.00,1.1279,0.98
300,Micro,0.3157,0.2277,980.00,0.1497,0.98
300,Small,0.6084,0.4650,2310.00,61.0300,0.98
300,Medium,0.6248,0.4751,4620.00,1.1279,0.98
