PopulationSize,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ConvergenceRate
50,Micro,0.3157,0.2277,980.00,0.1497,0.85
50,Small,0.6084,0.4650,2310.00,61.0300,0.85
50,Medium,0.6248,0.4751,4620.00,1.1279,0.85
75,Micro,0.3157,0.2277,980.00,0.1497,0.95
75,Small,0.6084,0.4650,2310.00,61.0300,0.95
75,Medium,0.6248,0.4751,4620.00,1.1279,0.95
100,Micro,0.3157,0.2277,980.00,0.1497,0.95
100,Small,0.6084,0.4650,2310.00,61.0300,0.95
100,Medium,0.6248,0.4751,4620.00,1.1279,0.95
120,Micro,0.3157,0.2277,980.00,0.1497,0.95
120,Small,0.6084,0.4650,2310.00,61.0300,0.95
120,Medium,0.6248,0.4751,4620.00,1.1279,0.95
150,Micro,0.3157,0.2277,980.00,0.1497,0.95
150,Small,0.6084,0.4650,2310.00,61.0300,0.95
150,Medium,0.6248,0.4751,4620.00,1.1279,0.95
200,Micro,0.3157,0.2277,980.00,0.1497,0.95
200,Small,0.6084,0.4650,2310.00,61.0300,0.95
200,Medium,0.6248,0.4751,4620.00,1.1279,0.95
