Algorithm,Scenario,Replication,ResourceUtilCPU,ResourceUtilRAM,PowerConsumption,SLAViolations,ExecutionTime,ConvergenceIterations,VmAllocated,VmTotal,Timestamp
HO,Micro,0,0.2471,0.1602,980.00,0,0.83,24,10,10,2025-09-12T16:26:06.1707242
HO,Micro,1,0.2471,0.1602,980.00,0,0.08,24,10,10,2025-09-12T16:26:06.3700282
HO,Micro,2,0.3479,0.2578,980.00,0,0.07,21,10,10,2025-09-12T16:26:06.553754
HO,Micro,3,0.3597,0.2578,980.00,0,0.08,24,10,10,2025-09-12T16:26:06.7413041
HO,Micro,4,0.3385,0.2422,980.00,0,0.08,24,10,10,2025-09-12T16:26:06.9225209
HO,Micro,5,0.3188,0.2370,980.00,0,0.08,22,10,10,2025-09-12T16:26:07.1208389
HO,Micro,6,0.3074,0.2370,980.00,0,0.07,22,10,10,2025-09-12T16:26:07.3020784
HO,Micro,7,0.3578,0.2578,980.00,0,0.07,21,10,10,2025-09-12T16:26:07.4867904
HO,Micro,8,0.3116,0.2370,980.00,0,0.07,22,10,10,2025-09-12T16:26:07.67139
HO,Micro,9,0.3210,0.2305,980.00,0,0.08,21,10,10,2025-09-12T16:26:07.8703196
FirstFit,Micro,0,0.3648,0.2578,980.00,0,0.07,1,10,10,2025-09-12T16:26:08.0550026
FirstFit,Micro,1,0.3648,0.2578,980.00,0,0.07,1,10,10,2025-09-12T16:26:08.238967
FirstFit,Micro,2,0.3479,0.2578,980.00,0,0.06,1,10,10,2025-09-12T16:26:08.4132721
FirstFit,Micro,3,0.3597,0.2578,980.00,0,0.06,1,10,10,2025-09-12T16:26:08.5880953
FirstFit,Micro,4,0.3593,0.2578,980.00,0,0.06,1,10,10,2025-09-12T16:26:08.7608084
FirstFit,Micro,5,0.4723,0.3203,980.00,0,0.08,1,10,10,2025-09-12T16:26:08.9375629
FirstFit,Micro,6,0.4737,0.3203,980.00,0,0.07,1,10,10,2025-09-12T16:26:09.1084514
FirstFit,Micro,7,0.3578,0.2578,980.00,0,0.07,1,10,10,2025-09-12T16:26:09.2863006
FirstFit,Micro,8,0.3532,0.2578,980.00,0,0.05,1,10,10,2025-09-12T16:26:09.4543042
FirstFit,Micro,9,0.4761,0.3203,980.00,0,0.07,1,10,10,2025-09-12T16:26:09.6363345
GA,Micro,0,0.3648,0.2578,980.00,0,0.07,19,10,10,2025-09-12T16:26:09.8208336
GA,Micro,1,0.3648,0.2578,980.00,0,0.06,26,10,10,2025-09-12T16:26:09.9938306
GA,Micro,2,0.4718,0.3203,980.00,0,0.06,15,10,10,2025-09-12T16:26:10.1654774
GA,Micro,3,0.3597,0.2578,980.00,0,0.07,11,10,10,2025-09-12T16:26:10.3514364
GA,Micro,4,0.3593,0.2578,980.00,0,0.05,29,10,10,2025-09-12T16:26:10.5169015
GA,Micro,5,0.4723,0.3203,980.00,0,0.07,16,10,10,2025-09-12T16:26:10.7031856
GA,Micro,6,0.4737,0.3203,980.00,0,0.07,18,10,10,2025-09-12T16:26:10.8731267
GA,Micro,7,0.3578,0.2578,980.00,0,0.06,25,10,10,2025-09-12T16:26:11.042825
GA,Micro,8,0.4780,0.3203,980.00,0,0.07,15,10,10,2025-09-12T16:26:11.2187925
GA,Micro,9,0.4761,0.3203,980.00,0,0.07,20,10,10,2025-09-12T16:26:11.4047847
HO,Small,0,0.6181,0.4688,2310.00,0,0.60,60,50,50,2025-09-12T16:26:15.1537502
HO,Small,1,0.6181,0.4688,2310.00,0,0.61,60,50,50,2025-09-12T16:26:15.8709258
HO,Small,2,0.6266,0.4849,2310.00,0,0.60,70,50,50,2025-09-12T16:26:16.5864622
HO,Small,3,0.5588,0.4422,2310.00,0,604.92,101,42,42,2025-09-12T16:36:21.6657019
HO,Small,4,0.6763,0.5259,2310.00,0,0.60,90,50,50,2025-09-12T16:36:22.3666248
HO,Small,5,0.6007,0.4453,2310.00,0,0.60,79,50,50,2025-09-12T16:36:23.0707465
HO,Small,6,0.5311,0.4094,2310.00,0,0.60,41,50,50,2025-09-12T16:36:23.773977
HO,Small,7,0.6019,0.4635,2310.00,0,0.59,79,50,50,2025-09-12T16:36:24.4752529
HO,Small,8,0.6226,0.4703,2310.00,0,0.59,31,50,50,2025-09-12T16:36:25.1772531
HO,Small,9,0.6295,0.4714,2310.00,0,0.60,72,50,50,2025-09-12T16:36:25.8981379
FirstFit,Small,0,0.7579,0.5594,2310.00,0,0.58,1,50,50,2025-09-12T16:36:26.5981093
FirstFit,Small,1,0.7579,0.5594,2310.00,0,0.60,1,50,50,2025-09-12T16:36:27.3149617
FirstFit,Small,2,0.7476,0.5578,2310.00,0,0.62,1,50,50,2025-09-12T16:36:28.0484167
FirstFit,Small,3,0.7500,0.5547,2310.00,0,0.60,1,50,50,2025-09-12T16:36:28.7657783
FirstFit,Small,4,0.7556,0.5813,2310.00,0,0.62,1,50,50,2025-09-12T16:36:29.4982485
FirstFit,Small,5,0.7535,0.5891,2310.00,0,0.60,1,50,50,2025-09-12T16:36:30.2148394
FirstFit,Small,6,0.7478,0.5766,2310.00,0,0.61,1,50,50,2025-09-12T16:36:30.9320977
FirstFit,Small,7,0.7443,0.5484,2310.00,0,0.60,1,50,50,2025-09-12T16:36:31.6364071
