Algorithm,Scenario,Metric,Mean,StdDev,Min,Max,Count
GA_Medium,ALL,ResourceUtilCPU,0.7361228125,0.005803020691225826,0.726778125,0.7467979166666666,10
GA_Medium,ALL,ResourceUtilRAM,0.5625,0.00874860479948087,0.54609375,0.575,10
GA_Medium,ALL,PowerConsumption,4620.0,0.0,4620.0,4620.0,10
GA_Medium,ALL,ExecutionTime,1.125,0.012231107881136486,1.094,1.14,10
HO_Medium,ALL,ResourceUtilCPU,0.6248454117063492,0.03284772153513819,0.5541510416666666,0.6742078869047619,10
HO_Medium,ALL,ResourceUtilRAM,0.47508556547619046,0.027689785124834967,0.40859375,0.5197916666666667,10
HO_Medium,ALL,PowerConsumption,4620.0,0.0,4620.0,4620.0,10
HO_Medium,ALL,ExecutionTime,1.1279,0.011475626344561727,1.107,1.15,10
FirstFit_Medium,ALL,ResourceUtilCPU,0.7357245833333333,0.0062812106514798585,0.7256385416666667,0.7467979166666667,10
FirstFit_Medium,ALL,ResourceUtilRAM,0.5621875000000001,0.009363273916611639,0.54296875,0.575,10
FirstFit_Medium,ALL,PowerConsumption,4620.0,0.0,4620.0,4620.0,10
FirstFit_Medium,ALL,ExecutionTime,1.1323,0.016248384535085335,1.105,1.165,10
HO_Micro,ALL,ResourceUtilCPU,0.3156927083333333,0.03847418585793019,0.24709895833333334,0.35971875,10
HO_Micro,ALL,ResourceUtilRAM,0.227734375,0.03510050557380133,0.16015625,0.2578125,10
HO_Micro,ALL,PowerConsumption,980.0,0.0,980.0,980.0,10
HO_Micro,ALL,ExecutionTime,0.1497,0.227871476933819,0.065,0.833,10
FirstFit_Micro,ALL,ResourceUtilCPU,0.39296458333333334,0.053290764912881476,0.34787500000000005,0.476125,10
FirstFit_Micro,ALL,ResourceUtilRAM,0.2765625,0.028641098093474003,0.2578125,0.3203125,10
FirstFit_Micro,ALL,PowerConsumption,980.0,0.0,980.0,980.0,10
FirstFit_Micro,ALL,ExecutionTime,0.06470000000000001,0.007510659092250159,0.049,0.076,10
GA_Small,ALL,ResourceUtilCPU,0.7520022916666667,0.004501233670594297,0.74433125,0.7579208333333334,10
GA_Small,ALL,ResourceUtilRAM,0.56515625,0.012422612006438113,0.5484375,0.5890625,10
GA_Small,ALL,PowerConsumption,2310.0,0.0,2310.0,2310.0,10
GA_Small,ALL,ExecutionTime,0.6136,0.011473447607410783,0.595,0.631,10
GA_Micro,ALL,ResourceUtilCPU,0.4178354166666667,0.056609768616183,0.35784375,0.47796875,10
GA_Micro,ALL,ResourceUtilRAM,0.2890625,0.03125,0.2578125,0.3203125,10
GA_Micro,ALL,PowerConsumption,980.0,0.0,980.0,980.0,10
GA_Micro,ALL,ExecutionTime,0.0643,0.005441507144165118,0.052,0.071,10
HO_Small,ALL,ResourceUtilCPU,0.6083750892857143,0.037829805922147575,0.5310583333333334,0.676263392857143,10
HO_Small,ALL,ResourceUtilRAM,0.4650372023809524,0.028643967355737564,0.409375,0.5258928571428572,10
HO_Small,ALL,PowerConsumption,2310.0,0.0,2310.0,2310.0,10
HO_Small,ALL,ExecutionTime,61.029999999999994,181.29733344150432,0.585,604.922,10
FirstFit_Small,ALL,ResourceUtilCPU,0.7521975,0.004367103667700642,0.74433125,0.7579208333333333,10
FirstFit_Small,ALL,ResourceUtilRAM,0.5653125,0.012279301690242826,0.5484375,0.5890625,10
FirstFit_Small,ALL,PowerConsumption,2310.0,0.0,2310.0,2310.0,10
FirstFit_Small,ALL,ExecutionTime,0.6013,0.010149384217774012,0.583,0.616,10
