Algorithm,Scenario,Replication,ResourceUtilCPU,ResourceUtilRAM,PowerConsumption,SLAViolations,ExecutionTime,ConvergenceIterations,VmAllocated,VmTotal,Timestamp
HO,Micro,0,0.3598,0.2539,980.00,10,0.53,22,10,10,2025-08-28T16:04:26.1667323
HO,Micro,1,0.2987,0.2070,980.00,10,0.11,13,10,10,2025-08-28T16:04:26.3956782
HO,Micro,2,0.3002,0.2227,980.00,10,0.11,22,10,10,2025-08-28T16:04:26.6097371
HO,Micro,3,0.3065,0.2070,980.00,10,0.11,22,10,10,2025-08-28T16:04:26.8276638
HO,Micro,4,0.3502,0.2578,980.00,10,0.11,33,10,10,2025-08-28T16:04:27.0492033
HO,Micro,5,0.3393,0.2422,980.00,10,0.14,30,10,10,2025-08-28T16:04:27.296482
HO,Micro,6,0.2933,0.2031,980.00,10,0.10,27,10,10,2025-08-28T16:04:27.5138043
HO,Micro,7,0.3228,0.2344,980.00,10,0.09,12,10,10,2025-08-28T16:04:27.7133101
HO,Micro,8,0.3438,0.2422,980.00,10,0.10,28,10,10,2025-08-28T16:04:27.9289162
HO,Micro,9,0.3609,0.2539,980.00,10,0.09,22,10,10,2025-08-28T16:04:28.1265834
FirstFit,Micro,0,0.3648,0.2578,980.00,10,0.10,1,10,10,2025-08-28T16:04:28.3435774
FirstFit,Micro,1,0.3648,0.2578,980.00,10,0.09,1,10,10,2025-08-28T16:04:28.5440724
FirstFit,Micro,2,0.3366,0.2578,980.00,10,0.10,1,10,10,2025-08-28T16:04:28.7479737
FirstFit,Micro,3,0.3693,0.2578,980.00,10,0.09,1,10,10,2025-08-28T16:04:28.945119
FirstFit,Micro,4,0.4668,0.3203,980.00,10,0.09,1,10,10,2025-08-28T16:04:29.1486318
FirstFit,Micro,5,0.3550,0.2578,980.00,10,0.09,1,10,10,2025-08-28T16:04:29.34734
FirstFit,Micro,6,0.3583,0.2578,980.00,10,0.10,1,10,10,2025-08-28T16:04:29.5630793
FirstFit,Micro,7,0.3492,0.2578,980.00,10,0.09,1,10,10,2025-08-28T16:04:29.7619433
FirstFit,Micro,8,0.3591,0.2578,980.00,10,0.09,1,10,10,2025-08-28T16:04:29.9618167
FirstFit,Micro,9,0.3656,0.2578,980.00,10,0.09,1,10,10,2025-08-28T16:04:30.1637499
GA,Micro,0,0.3648,0.2578,980.00,10,0.09,29,10,10,2025-08-28T16:04:30.3596078
GA,Micro,1,0.3648,0.2578,980.00,10,0.11,17,10,10,2025-08-28T16:04:30.5804634
GA,Micro,2,0.4556,0.3203,980.00,10,0.09,27,10,10,2025-08-28T16:04:30.7807835
GA,Micro,3,0.3693,0.2578,980.00,10,0.08,17,10,10,2025-08-28T16:04:30.9787117
GA,Micro,4,0.4668,0.3203,980.00,10,0.10,11,10,10,2025-08-28T16:04:31.1794704
GA,Micro,5,0.3550,0.2578,980.00,10,0.09,13,10,10,2025-08-28T16:04:31.3808192
GA,Micro,6,0.3583,0.2578,980.00,10,0.09,23,10,10,2025-08-28T16:04:31.5811901
GA,Micro,7,0.4668,0.3203,980.00,10,0.08,26,10,10,2025-08-28T16:04:31.7807073
GA,Micro,8,0.3591,0.2578,980.00,10,0.09,17,10,10,2025-08-28T16:04:31.9788463
GA,Micro,9,0.3656,0.2578,980.00,10,0.09,13,10,10,2025-08-28T16:04:32.1801914
HO,Small,0,0.7098,0.5188,2310.00,0,605.79,101,48,48,2025-08-28T16:14:41.1362986
HO,Small,1,0.7462,0.5500,2310.00,0,601.31,101,46,46,2025-08-28T16:24:42.5645555
HO,Small,2,0.5671,0.4453,2310.00,0,605.92,101,39,39,2025-08-28T16:34:48.6084685
HO,Small,3,0.6815,0.5313,2310.00,0,605.84,101,49,49,2025-08-28T16:44:54.5796515
HO,Small,4,0.7306,0.5531,2310.00,0,601.15,101,49,49,2025-08-28T16:54:55.8668652
HO,Small,5,0.7161,0.5500,2310.00,0,605.65,101,48,48,2025-08-28T17:05:01.6696159
HO,Small,6,0.7294,0.5344,2310.00,0,601.19,101,49,49,2025-08-28T17:15:03.0024728
HO,Small,7,0.7438,0.5625,2310.00,50,0.72,101,50,50,2025-08-28T17:15:03.8353456
HO,Small,8,0.6862,0.5109,2310.00,0,605.75,101,48,48,2025-08-28T17:25:09.722111
HO,Small,9,0.7019,0.5453,2310.00,50,0.70,101,50,50,2025-08-28T17:25:10.535578
FirstFit,Small,0,0.7579,0.5594,2310.00,50,0.65,1,50,50,2025-08-28T17:25:11.3037111
FirstFit,Small,1,0.7579,0.5594,2310.00,50,0.63,1,50,50,2025-08-28T17:25:12.0406815
FirstFit,Small,2,0.7579,0.5813,2310.00,50,0.65,1,50,50,2025-08-28T17:25:12.8046527
FirstFit,Small,3,0.7491,0.5578,2310.00,50,0.64,1,50,50,2025-08-28T17:25:13.5534217
FirstFit,Small,4,0.7534,0.5781,2310.00,50,0.62,1,50,50,2025-08-28T17:25:14.2879792
FirstFit,Small,5,0.7445,0.5750,2310.00,50,0.63,1,50,50,2025-08-28T17:25:15.0353697
FirstFit,Small,6,0.7558,0.5594,2310.00,50,0.65,1,50,50,2025-08-28T17:25:15.8028753
FirstFit,Small,7,0.7527,0.5594,2310.00,50,0.63,1,50,50,2025-08-28T17:25:16.5531076
