Algorithm,Scenario,Replication,ResourceUtilCPU,ResourceUtilRAM,PowerConsumption,SLAViolations,ExecutionTime,ConvergenceIterations,VmAllocated,VmTotal,Timestamp
HO,Micro,0,0.2939,0.2031,980.00,10,0.48,151,10,10,2025-08-25T17:27:34.584907
HO,Micro,1,0.3434,0.2383,980.00,10,0.06,308,10,10,2025-08-25T17:27:34.7640818
HO,Micro,2,0.3127,0.2344,980.00,10,0.07,252,10,10,2025-08-25T17:27:34.9488622
HO,Micro,3,0.3537,0.2422,980.00,10,0.07,304,10,10,2025-08-25T17:27:35.1316995
HO,Micro,4,0.3502,0.2578,980.00,10,0.09,275,10,10,2025-08-25T17:27:35.3361779
HO,Micro,5,0.2719,0.1914,980.00,10,0.07,139,10,10,2025-08-25T17:27:35.517355
HO,Micro,6,0.3528,0.2539,980.00,10,0.07,417,10,10,2025-08-25T17:27:35.7008117
HO,Micro,7,0.4668,0.3203,980.00,10,0.07,287,10,10,2025-08-25T17:27:35.8842523
HO,Micro,8,0.3316,0.2344,980.00,10,0.07,279,10,10,2025-08-25T17:27:36.0671792
HO,Micro,9,0.3656,0.2578,980.00,10,0.07,242,10,10,2025-08-25T17:27:36.258517
FirstFit,Micro,0,0.3648,0.2578,980.00,10,0.07,1,10,10,2025-08-25T17:27:36.450082
FirstFit,Micro,1,0.3648,0.2578,980.00,10,0.06,1,10,10,2025-08-25T17:27:36.6175654
FirstFit,Micro,2,0.3366,0.2578,980.00,10,0.07,1,10,10,2025-08-25T17:27:36.8047975
FirstFit,Micro,3,0.3693,0.2578,980.00,10,0.06,1,10,10,2025-08-25T17:27:36.9762645
FirstFit,Micro,4,0.4668,0.3203,980.00,10,0.07,1,10,10,2025-08-25T17:27:37.1489086
FirstFit,Micro,5,0.3550,0.2578,980.00,10,0.05,1,10,10,2025-08-25T17:27:37.3185298
FirstFit,Micro,6,0.3583,0.2578,980.00,10,0.06,1,10,10,2025-08-25T17:27:37.4999606
FirstFit,Micro,7,0.3492,0.2578,980.00,10,0.09,1,10,10,2025-08-25T17:27:37.7005395
FirstFit,Micro,8,0.3591,0.2578,980.00,10,0.07,1,10,10,2025-08-25T17:27:37.8812934
FirstFit,Micro,9,0.3656,0.2578,980.00,10,0.07,1,10,10,2025-08-25T17:27:38.0634944
GA,Micro,0,0.3648,0.2578,980.00,10,0.06,17,10,10,2025-08-25T17:27:38.235063
GA,Micro,1,0.3648,0.2578,980.00,10,0.08,16,10,10,2025-08-25T17:27:38.4310332
GA,Micro,2,0.4556,0.3203,980.00,10,0.05,21,10,10,2025-08-25T17:27:38.5990175
GA,Micro,3,0.3693,0.2578,980.00,10,0.06,18,10,10,2025-08-25T17:27:38.7814356
GA,Micro,4,0.4668,0.3203,980.00,10,0.07,12,10,10,2025-08-25T17:27:38.9630343
GA,Micro,5,0.3550,0.2578,980.00,10,0.08,10,10,10,2025-08-25T17:27:39.1475492
GA,Micro,6,0.3583,0.2578,980.00,10,0.05,29,10,10,2025-08-25T17:27:39.316205
GA,Micro,7,0.4668,0.3203,980.00,10,0.07,13,10,10,2025-08-25T17:27:39.4884283
GA,Micro,8,0.3591,0.2578,980.00,10,0.06,19,10,10,2025-08-25T17:27:39.6658692
GA,Micro,9,0.3656,0.2578,980.00,10,0.07,22,10,10,2025-08-25T17:27:39.8399947
HO,Small,0,0.7160,0.5328,2310.00,0,605.48,1676,48,48,2025-08-25T17:37:48.4933901
HO,Small,1,0.7250,0.5391,2310.00,50,0.63,323,50,50,2025-08-25T17:37:49.2389649
HO,Small,2,0.7028,0.5313,2310.00,50,0.63,2222,50,50,2025-08-25T17:37:49.9704414
HO,Small,3,0.6564,0.5063,2310.00,0,601.77,2093,48,48,2025-08-25T17:47:51.8640302
HO,Small,4,0.6792,0.5203,2310.00,0,606.07,1914,46,46,2025-08-25T17:57:58.063027
HO,Small,5,0.7385,0.5656,2310.00,0,601.07,1922,49,49,2025-08-25T18:07:59.2498927
HO,Small,6,0.6921,0.5218,2310.00,0,609.24,2330,47,47,2025-08-25T18:18:08.6072876
HO,Small,7,0.6894,0.5344,2310.00,0,604.56,1681,46,46,2025-08-25T18:28:13.2880637
HO,Small,8,0.7034,0.5422,2310.00,0,612.53,2217,49,49,2025-08-25T18:38:25.9491258
HO,Small,9,0.6470,0.5000,2310.00,0,603.79,1847,48,48,2025-08-25T18:48:29.8735721
FirstFit,Small,0,0.7579,0.5594,2310.00,50,0.64,1,50,50,2025-08-25T18:48:30.6282947
FirstFit,Small,1,0.7579,0.5594,2310.00,50,0.62,1,50,50,2025-08-25T18:48:31.3673891
FirstFit,Small,2,0.7579,0.5813,2310.00,50,0.63,1,50,50,2025-08-25T18:48:32.10734
FirstFit,Small,3,0.7491,0.5578,2310.00,50,0.63,1,50,50,2025-08-25T18:48:32.8530848
FirstFit,Small,4,0.7534,0.5781,2310.00,50,0.64,1,50,50,2025-08-25T18:48:33.6064613
FirstFit,Small,5,0.7445,0.5750,2310.00,50,0.63,1,50,50,2025-08-25T18:48:34.3527824
FirstFit,Small,6,0.7558,0.5594,2310.00,50,0.63,1,50,50,2025-08-25T18:48:35.0973477
FirstFit,Small,7,0.7527,0.5594,2310.00,50,0.62,1,50,50,2025-08-25T18:48:35.8336244
HO,Medium,2,0.6625,0.5227,4620.00,0,611.68,3922,96,96,2025-08-25T19:19:13.2365816
HO,Medium,3,0.6711,0.5164,4620.00,0,50652.98,3882,96,96,2025-08-26T09:23:26.3611405
HO,Medium,4,0.7025,0.5289,4620.00,100,1.23,3870,100,100,2025-08-26T09:23:27.7163754
HO,Medium,5,0.6408,0.5156,4620.00,0,5534.28,3993,97,97,2025-08-26T10:55:42.1281956
