Algorithm,Scenario,Replication,ResourceUtilCPU,ResourceUtilRAM,PowerConsumption,SLAViolations,ExecutionTime,ConvergenceIterations,VmAllocated,VmTotal,Timestamp
HO,Micro,0,0.3147,0.2227,980.00,10,0.11,151,10,10,2025-08-07T16:28:48.51593083
HO,Micro,1,0.3600,0.2539,980.00,10,0.04,304,10,10,2025-08-07T16:28:48.655653489
HO,Micro,2,0.4507,0.3164,980.00,10,0.02,431,10,10,2025-08-07T16:28:48.778862912
HO,Micro,3,0.3418,0.2344,980.00,10,0.01,138,10,10,2025-08-07T16:28:48.894135567
HO,Micro,4,0.3502,0.2578,980.00,10,0.01,297,10,10,2025-08-07T16:28:49.008393764
HO,Micro,5,0.3146,0.2188,980.00,10,0.01,249,10,10,2025-08-07T16:28:49.123160831
HO,Micro,6,0.2552,0.1680,980.00,10,0.01,140,10,10,2025-08-07T16:28:49.236733766
HO,Micro,7,0.2794,0.2031,980.00,10,0.01,152,10,10,2025-08-07T16:28:49.35161252
HO,Micro,8,0.3171,0.2188,980.00,10,0.01,298,10,10,2025-08-07T16:28:49.466347572
HO,Micro,9,0.3656,0.2578,980.00,10,0.01,242,10,10,2025-08-07T16:28:49.576232196
FirstFit,Micro,0,0.3648,0.2578,980.00,10,0.01,1,10,10,2025-08-07T16:28:49.689140028
FirstFit,Micro,1,0.3648,0.2578,980.00,10,0.01,1,10,10,2025-08-07T16:28:49.797093639
FirstFit,Micro,2,0.3366,0.2578,980.00,10,0.01,1,10,10,2025-08-07T16:28:49.904218518
FirstFit,Micro,3,0.3693,0.2578,980.00,10,0.00,1,10,10,2025-08-07T16:28:50.010249084
FirstFit,Micro,4,0.4668,0.3203,980.00,10,0.01,1,10,10,2025-08-07T16:28:50.12053345
FirstFit,Micro,5,0.3550,0.2578,980.00,10,0.00,1,10,10,2025-08-07T16:28:50.227350594
FirstFit,Micro,6,0.3583,0.2578,980.00,10,0.01,1,10,10,2025-08-07T16:28:50.334124869
FirstFit,Micro,7,0.3492,0.2578,980.00,10,0.00,1,10,10,2025-08-07T16:28:50.439619489
FirstFit,Micro,8,0.3591,0.2578,980.00,10,0.00,1,10,10,2025-08-07T16:28:50.545232435
FirstFit,Micro,9,0.3656,0.2578,980.00,10,0.00,1,10,10,2025-08-07T16:28:50.651188007
GA,Micro,0,0.3648,0.2578,980.00,10,0.01,20,10,10,2025-08-07T16:28:50.760704831
GA,Micro,1,0.3648,0.2578,980.00,10,0.00,10,10,10,2025-08-07T16:28:50.86596788
GA,Micro,2,0.4556,0.3203,980.00,10,0.00,25,10,10,2025-08-07T16:28:50.971317693
GA,Micro,3,0.3693,0.2578,980.00,10,0.00,19,10,10,2025-08-07T16:28:51.07764423
GA,Micro,4,0.4668,0.3203,980.00,10,0.01,25,10,10,2025-08-07T16:28:51.18962497
GA,Micro,5,0.3550,0.2578,980.00,10,0.00,15,10,10,2025-08-07T16:28:51.295589638
GA,Micro,6,0.3583,0.2578,980.00,10,0.00,14,10,10,2025-08-07T16:28:51.401027158
GA,Micro,7,0.4668,0.3203,980.00,10,0.00,29,10,10,2025-08-07T16:28:51.506271826
GA,Micro,8,0.3591,0.2578,980.00,10,0.00,12,10,10,2025-08-07T16:28:51.611616133
GA,Micro,9,0.3656,0.2578,980.00,10,0.01,20,10,10,2025-08-07T16:28:51.720668469
