Scenario,Metric,Algorithm,Rank,Score,Percentage
Micro,ResourceUtilCPU,GA,1,0.4178,100.00
Micro,ResourceUtilCPU,FirstFit,2,0.3930,66.76
Micro,ResourceUtilCPU,HO,3,0.3430,0.00
Micro,ResourceUtilRAM,GA,1,0.2891,100.00
Micro,ResourceUtilRAM,FirstFit,2,0.2766,72.41
Micro,ResourceUtilRAM,HO,3,0.2438,0.00
Micro,PowerConsumption,FirstFit,1,980.0000,100.00
Micro,PowerConsumption,HO,2,980.0000,100.00
Micro,PowerConsumption,GA,3,980.0000,100.00
Micro,ExecutionTime,GA,1,0.0033,100.00
Micro,ExecutionTime,FirstFit,2,0.0039,96.70
Micro,ExecutionTime,HO,3,0.0215,-0.00
Small,ResourceUtilCPU,FirstFit,1,0.7522,100.00
Small,ResourceUtilCPU,GA,2,0.7520,99.63
Small,ResourceUtilCPU,HO,3,0.6990,0.00
Small,ResourceUtilRAM,FirstFit,1,0.5653,100.00
Small,ResourceUtilRAM,GA,2,0.5652,99.62
Small,ResourceUtilRAM,HO,3,0.5237,0.00
Small,PowerConsumption,FirstFit,1,2310.0000,100.00
Small,PowerConsumption,HO,2,2310.0000,100.00
Small,PowerConsumption,GA,3,2310.0000,100.00
Small,ExecutionTime,FirstFit,1,0.5062,100.00
Small,ExecutionTime,GA,2,0.5074,100.00
Small,ExecutionTime,HO,3,120.6919,-0.00
Medium,ResourceUtilCPU,GA,1,0.7361,100.00
Medium,ResourceUtilCPU,FirstFit,2,0.7357,98.62
Medium,ResourceUtilCPU,HO,3,0.7073,0.00
Medium,ResourceUtilRAM,GA,1,0.5625,100.00
Medium,ResourceUtilRAM,FirstFit,2,0.5622,98.46
Medium,ResourceUtilRAM,HO,3,0.5421,0.00
Medium,PowerConsumption,FirstFit,1,4620.0000,100.00
Medium,PowerConsumption,HO,2,4620.0000,100.00
Medium,PowerConsumption,GA,3,4620.0000,100.00
Medium,ExecutionTime,FirstFit,1,1.0077,100.00
Medium,ExecutionTime,GA,2,1.0116,90.25
Medium,ExecutionTime,HO,3,1.0477,-0.00
