Algorithm1,Algorithm2,Scenario,Metric,Mean1,Mean2,Difference,PercentageDiff,BetterAlgorithm
HO,FirstFit,Micro,ResourceUtilCPU,0.3430,0.3930,-0.0499,-12.71,FirstFit
HO,FirstFit,Micro,ResourceUtilRAM,0.2438,0.2766,-0.0328,-11.86,FirstFit
HO,FirstFit,Micro,PowerConsumption,980.0000,980.0000,0.0000,0.00,FirstFit
HO,FirstFit,Micro,ExecutionTime,0.0215,0.0039,0.0176,451.28,FirstFit
HO,FirstFit,Small,ResourceUtilCPU,0.6990,0.7522,-0.0532,-7.07,FirstFit
HO,FirstFit,Small,ResourceUtilRAM,0.5237,0.5653,-0.0416,-7.36,FirstFit
HO,FirstFit,Small,PowerConsumption,2310.0000,2310.0000,0.0000,0.00,FirstFit
HO,FirstFit,Small,ExecutionTime,120.6919,0.5062,120.1857,23742.73,FirstFit
HO,FirstFit,Medium,ResourceUtilCPU,0.7073,0.7357,-0.0285,-3.87,FirstFit
HO,FirstFit,Medium,ResourceUtilRAM,0.5421,0.5622,-0.0200,-3.57,FirstFit
HO,FirstFit,Medium,PowerConsumption,4620.0000,4620.0000,0.0000,0.00,FirstFit
HO,FirstFit,Medium,ExecutionTime,1.0477,1.0077,0.0400,3.97,FirstFit
HO,GA,Micro,ResourceUtilCPU,0.3430,0.4178,-0.0748,-17.91,GA
HO,GA,Micro,ResourceUtilRAM,0.2438,0.2891,-0.0453,-15.68,GA
HO,GA,Micro,PowerConsumption,980.0000,980.0000,0.0000,0.00,GA
HO,GA,Micro,ExecutionTime,0.0215,0.0033,0.0182,551.52,GA
HO,GA,Small,ResourceUtilCPU,0.6990,0.7520,-0.0530,-7.04,GA
HO,GA,Small,ResourceUtilRAM,0.5237,0.5652,-0.0414,-7.33,GA
HO,GA,Small,PowerConsumption,2310.0000,2310.0000,0.0000,0.00,GA
HO,GA,Small,ExecutionTime,120.6919,0.5074,120.1845,23686.34,GA
HO,GA,Medium,ResourceUtilCPU,0.7073,0.7361,-0.0289,-3.92,GA
HO,GA,Medium,ResourceUtilRAM,0.5421,0.5625,-0.0204,-3.62,GA
HO,GA,Medium,PowerConsumption,4620.0000,4620.0000,0.0000,0.00,GA
HO,GA,Medium,ExecutionTime,1.0477,1.0116,0.0361,3.57,GA
FirstFit,GA,Micro,ResourceUtilCPU,0.3930,0.4178,-0.0249,-5.95,GA
FirstFit,GA,Micro,ResourceUtilRAM,0.2766,0.2891,-0.0125,-4.32,GA
FirstFit,GA,Micro,PowerConsumption,980.0000,980.0000,0.0000,0.00,GA
FirstFit,GA,Micro,ExecutionTime,0.0039,0.0033,0.0006,18.18,GA
FirstFit,GA,Small,ResourceUtilCPU,0.7522,0.7520,0.0002,0.03,FirstFit
FirstFit,GA,Small,ResourceUtilRAM,0.5653,0.5652,0.0002,0.03,FirstFit
FirstFit,GA,Small,PowerConsumption,2310.0000,2310.0000,0.0000,0.00,GA
FirstFit,GA,Small,ExecutionTime,0.5062,0.5074,-0.0012,-0.24,FirstFit
FirstFit,GA,Medium,ResourceUtilCPU,0.7357,0.7361,-0.0004,-0.05,GA
FirstFit,GA,Medium,ResourceUtilRAM,0.5622,0.5625,-0.0003,-0.06,GA
FirstFit,GA,Medium,PowerConsumption,4620.0000,4620.0000,0.0000,0.00,GA
FirstFit,GA,Medium,ExecutionTime,1.0077,1.0116,-0.0039,-0.39,FirstFit
