Algorithm,Scenario,Replication,Iteration,BestFitness,AverageFitness,PopulationDiversity,ImprovementRate,Timestamp
HO,Micro,0,13,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.152260749
HO,Micro,1,22,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.152508538
HO,Micro,2,12,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.152608012
HO,Micro,3,12,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.152659329
HO,Micro,4,26,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.152710423
HO,Micro,5,32,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.152758503
HO,Micro,6,12,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.152805865
HO,Micro,7,30,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.152850547
HO,Micro,8,12,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.152905411
HO,Micro,9,22,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.15295204
HO,Small,0,101,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.153004726
HO,Small,1,101,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.153052256
HO,Small,2,101,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.15311498
HO,Small,3,101,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.1531624
HO,Small,4,101,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.153211632
HO,Small,5,101,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.153258475
HO,Small,6,101,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.153313477
HO,Small,7,101,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.153365276
HO,Small,8,101,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.153414481
HO,Small,9,58,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.153460162
HO,Medium,0,101,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.153508355
HO,Medium,1,101,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.153555295
HO,Medium,2,101,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.153603903
HO,Medium,3,101,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.153677624
HO,Medium,4,101,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.153734081
HO,Medium,5,101,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.153781459
HO,Medium,6,101,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.153836298
HO,Medium,7,42,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.153883177
HO,Medium,8,101,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.153956662
HO,Medium,9,101,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.154007836
GA,Micro,0,28,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.154059165
GA,Micro,1,17,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.154105
GA,Micro,2,11,0.000000,0.000000,0.0000,0.000000,2025-08-31T17:21:34.154152572
