BetaValue,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ExplorationLevel
0.10,Micro,0.3430,0.2438,980.00,0.0215,0.20
0.10,Small,0.6990,0.5237,2310.00,120.6919,0.20
0.10,Medium,0.7073,0.5421,4620.00,1.0477,0.20
0.15,Micro,0.3430,0.2438,980.00,0.0215,0.30
0.15,Small,0.6990,0.5237,2310.00,120.6919,0.30
0.15,Medium,0.7073,0.5421,4620.00,1.0477,0.30
0.20,Micro,0.3430,0.2438,980.00,0.0215,0.40
0.20,Small,0.6990,0.5237,2310.00,120.6919,0.40
0.20,Medium,0.7073,0.5421,4620.00,1.0477,0.40
0.25,Micro,0.3430,0.2438,980.00,0.0215,0.50
0.25,Small,0.6990,0.5237,2310.00,120.6919,0.50
0.25,Medium,0.7073,0.5421,4620.00,1.0477,0.50
0.30,Micro,0.3430,0.2438,980.00,0.0215,0.60
0.30,Small,0.6990,0.5237,2310.00,120.6919,0.60
0.30,Medium,0.7073,0.5421,4620.00,1.0477,0.60
0.40,Micro,0.3430,0.2438,980.00,0.0215,0.80
0.40,Small,0.6990,0.5237,2310.00,120.6919,0.80
0.40,Medium,0.7073,0.5421,4620.00,1.0477,0.80
