GammaValue,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ExploitationLevel
0.05,Micro,0.3430,0.2438,980.00,0.0215,0.15
0.05,Small,0.6990,0.5237,2310.00,120.6919,0.15
0.05,Medium,0.7073,0.5421,4620.00,1.0477,0.15
0.10,Micro,0.3430,0.2438,980.00,0.0215,0.30
0.10,Small,0.6990,0.5237,2310.00,120.6919,0.30
0.10,Medium,0.7073,0.5421,4620.00,1.0477,0.30
0.15,Micro,0.3430,0.2438,980.00,0.0215,0.45
0.15,Small,0.6990,0.5237,2310.00,120.6919,0.45
0.15,Medium,0.7073,0.5421,4620.00,1.0477,0.45
0.20,Micro,0.3430,0.2438,980.00,0.0215,0.60
0.20,Small,0.6990,0.5237,2310.00,120.6919,0.60
0.20,Medium,0.7073,0.5421,4620.00,1.0477,0.60
0.25,Micro,0.3430,0.2438,980.00,0.0215,0.75
0.25,Small,0.6990,0.5237,2310.00,120.6919,0.75
0.25,Medium,0.7073,0.5421,4620.00,1.0477,0.75
0.30,Micro,0.3430,0.2438,980.00,0.0215,0.90
0.30,Small,0.6990,0.5237,2310.00,120.6919,0.90
0.30,Medium,0.7073,0.5421,4620.00,1.0477,0.90
