MaxIterations,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ConvergenceQuality
80,Micro,0.3430,0.2438,980.00,0.0215,0.66
80,Small,0.6990,0.5237,2310.00,120.6919,0.66
80,Medium,0.7073,0.5421,4620.00,1.0477,0.66
120,Micro,0.3430,0.2438,980.00,0.0215,0.74
120,Small,0.6990,0.5237,2310.00,120.6919,0.74
120,Medium,0.7073,0.5421,4620.00,1.0477,0.74
150,Micro,0.3430,0.2438,980.00,0.0215,0.80
150,Small,0.6990,0.5237,2310.00,120.6919,0.80
150,Medium,0.7073,0.5421,4620.00,1.0477,0.80
200,Micro,0.3430,0.2438,980.00,0.0215,0.90
200,Small,0.6990,0.5237,2310.00,120.6919,0.90
200,Medium,0.7073,0.5421,4620.00,1.0477,0.90
250,Micro,0.3430,0.2438,980.00,0.0215,0.98
250,Small,0.6990,0.5237,2310.00,120.6919,0.98
250,Medium,0.7073,0.5421,4620.00,1.0477,0.98
300,Micro,0.3430,0.2438,980.00,0.0215,0.98
300,Small,0.6990,0.5237,2310.00,120.6919,0.98
300,Medium,0.7073,0.5421,4620.00,1.0477,0.98
