PopulationSize,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ConvergenceRate
50,Micro,0.3430,0.2438,980.00,0.0215,0.85
50,Small,0.6990,0.5237,2310.00,120.6919,0.85
50,Medium,0.7073,0.5421,4620.00,1.0477,0.85
75,Micro,0.3430,0.2438,980.00,0.0215,0.95
75,Small,0.6990,0.5237,2310.00,120.6919,0.95
75,Medium,0.7073,0.5421,4620.00,1.0477,0.95
100,Micro,0.3430,0.2438,980.00,0.0215,0.95
100,Small,0.6990,0.5237,2310.00,120.6919,0.95
100,Medium,0.7073,0.5421,4620.00,1.0477,0.95
120,Micro,0.3430,0.2438,980.00,0.0215,0.95
120,Small,0.6990,0.5237,2310.00,120.6919,0.95
120,Medium,0.7073,0.5421,4620.00,1.0477,0.95
150,Micro,0.3430,0.2438,980.00,0.0215,0.95
150,Small,0.6990,0.5237,2310.00,120.6919,0.95
150,Medium,0.7073,0.5421,4620.00,1.0477,0.95
200,Micro,0.3430,0.2438,980.00,0.0215,0.95
200,Small,0.6990,0.5237,2310.00,120.6919,0.95
200,Medium,0.7073,0.5421,4620.00,1.0477,0.95
