Algorithm,Scenario,Replication,ResourceUtilCPU,ResourceUtilRAM,PowerConsumption,SLAViolations,ExecutionTime,ConvergenceIterations,VmAllocated,VmTotal,Timestamp
HO,Micro,0,0.2943,0.2031,980.00,10,0.10,13,10,10,2025-08-31T17:00:27.735119431
HO,Micro,1,0.3594,0.2539,980.00,10,0.02,22,10,10,2025-08-31T17:00:27.855320349
HO,Micro,2,0.3374,0.2500,980.00,10,0.01,12,10,10,2025-08-31T17:00:27.971186129
HO,Micro,3,0.2568,0.1680,980.00,10,0.01,12,10,10,2025-08-31T17:00:28.081949637
HO,Micro,4,0.3593,0.2578,980.00,10,0.02,26,10,10,2025-08-31T17:00:28.202754072
HO,Micro,5,0.4723,0.3203,980.00,10,0.02,32,10,10,2025-08-31T17:00:28.323567959
HO,Micro,6,0.3438,0.2539,980.00,10,0.01,12,10,10,2025-08-31T17:00:28.438762518
HO,Micro,7,0.3578,0.2578,980.00,10,0.01,30,10,10,2025-08-31T17:00:28.550053562
HO,Micro,8,0.2969,0.2148,980.00,10,0.01,12,10,10,2025-08-31T17:00:28.658127508
HO,Micro,9,0.3523,0.2578,980.00,10,0.01,22,10,10,2025-08-31T17:00:28.772019808
FirstFit,Micro,0,0.3648,0.2578,980.00,10,0.01,1,10,10,2025-08-31T17:00:28.883793147
FirstFit,Micro,1,0.3648,0.2578,980.00,10,0.00,1,10,10,2025-08-31T17:00:28.989028278
FirstFit,Micro,2,0.3479,0.2578,980.00,10,0.00,1,10,10,2025-08-31T17:00:29.094948101
FirstFit,Micro,3,0.3597,0.2578,980.00,10,0.01,1,10,10,2025-08-31T17:00:29.202778851
FirstFit,Micro,4,0.3593,0.2578,980.00,10,0.00,1,10,10,2025-08-31T17:00:29.308536111
FirstFit,Micro,5,0.4723,0.3203,980.00,10,0.00,1,10,10,2025-08-31T17:00:29.413536271
FirstFit,Micro,6,0.4737,0.3203,980.00,10,0.00,1,10,10,2025-08-31T17:00:29.517933648
FirstFit,Micro,7,0.3578,0.2578,980.00,10,0.00,1,10,10,2025-08-31T17:00:29.622742395
FirstFit,Micro,8,0.3532,0.2578,980.00,10,0.00,1,10,10,2025-08-31T17:00:29.727222127
FirstFit,Micro,9,0.4761,0.3203,980.00,10,0.00,1,10,10,2025-08-31T17:00:29.831306798
GA,Micro,0,0.3648,0.2578,980.00,10,0.00,28,10,10,2025-08-31T17:00:29.936844828
GA,Micro,1,0.3648,0.2578,980.00,10,0.00,17,10,10,2025-08-31T17:00:30.041977926
GA,Micro,2,0.4718,0.3203,980.00,10,0.00,11,10,10,2025-08-31T17:00:30.146988909
GA,Micro,3,0.3597,0.2578,980.00,10,0.00,11,10,10,2025-08-31T17:00:30.252192677
GA,Micro,4,0.3593,0.2578,980.00,10,0.00,20,10,10,2025-08-31T17:00:30.356907222
GA,Micro,5,0.4723,0.3203,980.00,10,0.01,21,10,10,2025-08-31T17:00:30.463889947
GA,Micro,6,0.4737,0.3203,980.00,10,0.01,26,10,10,2025-08-31T17:00:30.570888448
GA,Micro,7,0.3578,0.2578,980.00,10,0.00,23,10,10,2025-08-31T17:00:30.675450127
GA,Micro,8,0.4780,0.3203,980.00,10,0.00,25,10,10,2025-08-31T17:00:30.779781201
GA,Micro,9,0.4761,0.3203,980.00,10,0.00,17,10,10,2025-08-31T17:00:30.883869272
HO,Small,0,0.7520,0.5539,2310.00,50,0.55,101,50,50,2025-08-31T17:00:34.558087294
HO,Small,1,0.7164,0.5328,2310.00,0,601.25,101,48,48,2025-08-31T17:10:35.930941267
HO,Small,2,0.7294,0.5448,2310.00,50,0.53,101,50,50,2025-08-31T17:10:36.571114267
HO,Small,3,0.7044,0.5203,2310.00,50,0.53,101,50,50,2025-08-31T17:10:37.200838513
HO,Small,4,0.7117,0.5313,2310.00,50,0.53,101,50,50,2025-08-31T17:10:37.836861316
HO,Small,5,0.7151,0.5614,2310.00,50,0.53,101,50,50,2025-08-31T17:10:38.465654209
HO,Small,6,0.5886,0.4344,2310.00,0,601.44,101,49,49,2025-08-31T17:20:40.009541082
HO,Small,7,0.6739,0.5234,2310.00,50,0.52,101,50,50,2025-08-31T17:20:40.63339371
HO,Small,8,0.7087,0.5219,2310.00,50,0.52,101,50,50,2025-08-31T17:20:41.255107537
HO,Small,9,0.6902,0.5132,2310.00,50,0.52,58,50,50,2025-08-31T17:20:41.871749734
FirstFit,Small,0,0.7579,0.5594,2310.00,50,0.51,1,50,50,2025-08-31T17:20:42.480861564
FirstFit,Small,1,0.7579,0.5594,2310.00,50,0.51,1,50,50,2025-08-31T17:20:43.091284661
FirstFit,Small,2,0.7476,0.5578,2310.00,50,0.51,1,50,50,2025-08-31T17:20:43.700076382
FirstFit,Small,3,0.7500,0.5547,2310.00,50,0.51,1,50,50,2025-08-31T17:20:44.306922797
FirstFit,Small,4,0.7556,0.5813,2310.00,50,0.51,1,50,50,2025-08-31T17:20:44.913693798
FirstFit,Small,5,0.7535,0.5891,2310.00,50,0.51,1,50,50,2025-08-31T17:20:45.520103156
FirstFit,Small,6,0.7478,0.5766,2310.00,50,0.51,1,50,50,2025-08-31T17:20:46.129261766
FirstFit,Small,7,0.7443,0.5484,2310.00,50,0.51,1,50,50,2025-08-31T17:20:46.736366005
FirstFit,Small,8,0.7541,0.5672,2310.00,50,0.51,1,50,50,2025-08-31T17:20:47.344379401
FirstFit,Small,9,0.7532,0.5594,2310.00,50,0.51,1,50,50,2025-08-31T17:20:47.951022357
GA,Small,0,0.7579,0.5594,2310.00,50,0.51,18,50,50,2025-08-31T17:20:48.56165114
GA,Small,1,0.7579,0.5594,2310.00,50,0.51,18,50,50,2025-08-31T17:20:49.172578043
GA,Small,2,0.7476,0.5578,2310.00,50,0.51,13,50,50,2025-08-31T17:20:49.782732148
GA,Small,3,0.7481,0.5531,2310.00,50,0.51,14,50,50,2025-08-31T17:20:50.389912741
GA,Small,4,0.7556,0.5813,2310.00,50,0.51,27,50,50,2025-08-31T17:20:50.999885027
GA,Small,5,0.7535,0.5891,2310.00,50,0.51,18,50,50,2025-08-31T17:20:51.609704703
GA,Small,6,0.7478,0.5766,2310.00,50,0.51,23,50,50,2025-08-31T17:20:52.219716138
GA,Small,7,0.7443,0.5484,2310.00,50,0.51,10,50,50,2025-08-31T17:20:52.830196386
GA,Small,8,0.7541,0.5672,2310.00,50,0.51,21,50,50,2025-08-31T17:20:53.436933494
GA,Small,9,0.7532,0.5594,2310.00,50,0.51,12,50,50,2025-08-31T17:20:54.043485252
HO,Medium,0,0.7099,0.5461,4620.00,100,1.05,101,100,100,2025-08-31T17:20:58.411836082
HO,Medium,1,0.6937,0.5309,4620.00,100,1.05,101,100,100,2025-08-31T17:20:59.559051599
HO,Medium,2,0.7031,0.5391,4620.00,100,1.05,101,100,100,2025-08-31T17:21:00.711143652
HO,Medium,3,0.7094,0.5630,4620.00,100,1.04,101,100,100,2025-08-31T17:21:01.85317505
HO,Medium,4,0.7258,0.5576,4620.00,100,1.08,101,100,100,2025-08-31T17:21:03.031128193
HO,Medium,5,0.7225,0.5513,4620.00,100,1.05,101,100,100,2025-08-31T17:21:04.183104551
HO,Medium,6,0.7180,0.5497,4620.00,100,1.05,101,100,100,2025-08-31T17:21:05.334001558
HO,Medium,7,0.6665,0.5000,4620.00,100,1.02,42,100,100,2025-08-31T17:21:06.454531131
HO,Medium,8,0.7083,0.5400,4620.00,100,1.05,101,100,100,2025-08-31T17:21:07.607323977
HO,Medium,9,0.7155,0.5438,4620.00,100,1.05,101,100,100,2025-08-31T17:21:08.758583387
FirstFit,Medium,0,0.7328,0.5563,4620.00,100,1.01,1,100,100,2025-08-31T17:21:09.87115055
FirstFit,Medium,1,0.7328,0.5563,4620.00,100,1.01,1,100,100,2025-08-31T17:21:10.979528571
FirstFit,Medium,2,0.7412,0.5742,4620.00,100,1.01,1,100,100,2025-08-31T17:21:12.088240339
FirstFit,Medium,3,0.7358,0.5750,4620.00,100,1.01,1,100,100,2025-08-31T17:21:13.197277162
FirstFit,Medium,4,0.7403,0.5688,4620.00,100,1.01,1,100,100,2025-08-31T17:21:14.305701582
FirstFit,Medium,5,0.7417,0.5602,4620.00,100,1.01,1,100,100,2025-08-31T17:21:15.414426727
FirstFit,Medium,6,0.7287,0.5430,4620.00,100,1.01,1,100,100,2025-08-31T17:21:16.52357925
FirstFit,Medium,7,0.7315,0.5617,4620.00,100,1.01,1,100,100,2025-08-31T17:21:17.633570088
FirstFit,Medium,8,0.7256,0.5570,4620.00,100,1.01,1,100,100,2025-08-31T17:21:18.74168911
FirstFit,Medium,9,0.7468,0.5695,4620.00,100,1.01,1,100,100,2025-08-31T17:21:19.84994172
GA,Medium,0,0.7328,0.5563,4620.00,100,1.02,11,100,100,2025-08-31T17:21:20.966878047
GA,Medium,1,0.7328,0.5563,4620.00,100,1.01,29,100,100,2025-08-31T17:21:22.080218444
GA,Medium,2,0.7411,0.5742,4620.00,100,1.01,22,100,100,2025-08-31T17:21:23.191602559
GA,Medium,3,0.7358,0.5750,4620.00,100,1.01,22,100,100,2025-08-31T17:21:24.302672111
GA,Medium,4,0.7403,0.5688,4620.00,100,1.01,19,100,100,2025-08-31T17:21:25.414143594
GA,Medium,5,0.7417,0.5602,4620.00,100,1.01,27,100,100,2025-08-31T17:21:26.526027454
GA,Medium,6,0.7317,0.5461,4620.00,100,1.02,15,100,100,2025-08-31T17:21:27.642079478
GA,Medium,7,0.7315,0.5617,4620.00,100,1.01,19,100,100,2025-08-31T17:21:28.75358472
GA,Medium,8,0.7268,0.5570,4620.00,100,1.01,27,100,100,2025-08-31T17:21:29.864823151
GA,Medium,9,0.7468,0.5695,4620.00,100,1.01,15,100,100,2025-08-31T17:21:30.980775661
