Algorithm,Scenario,Metric,Mean,StdDev,Min,Max,Count
GA_Medium,ALL,ResourceUtilCPU,0.7361228125,0.005803020691225826,0.726778125,0.7467979166666666,10
GA_Medium,ALL,ResourceUtilRAM,0.5625,0.00874860479948087,0.54609375,0.575,10
GA_Medium,ALL,PowerConsumption,4620.0,0.0,4620.0,4620.0,10
GA_Medium,ALL,ExecutionTime,1.0116,0.0021071307505705138,1.01,1.015,10
HO_Medium,ALL,ResourceUtilCPU,0.7072606467013889,0.016223831531565067,0.6665333333333333,0.7258197916666667,10
HO_Medium,ALL,ResourceUtilRAM,0.5421419270833333,0.016584270252744927,0.5,0.5630208333333333,10
HO_Medium,ALL,PowerConsumption,4620.0,0.0,4620.0,4620.0,10
HO_Medium,ALL,ExecutionTime,1.0477,0.013115258289488656,1.019,1.076,10
FirstFit_Medium,ALL,ResourceUtilCPU,0.7357245833333333,0.0062812106514798585,0.7256385416666667,0.7467979166666667,10
FirstFit_Medium,ALL,ResourceUtilRAM,0.5621875000000001,0.009363273916611639,0.54296875,0.575,10
FirstFit_Medium,ALL,PowerConsumption,4620.0,0.0,4620.0,4620.0,10
FirstFit_Medium,ALL,ExecutionTime,1.0077,0.0011874342087038012,1.007,1.011,10
HO_Micro,ALL,ResourceUtilCPU,0.34302083333333333,0.054324758527819546,0.256765625,0.47225,10
HO_Micro,ALL,ResourceUtilRAM,0.24375,0.038638321933994496,0.16796875,0.3203125,10
HO_Micro,ALL,PowerConsumption,980.0,0.0,980.0,980.0,10
HO_Micro,ALL,ExecutionTime,0.0215,0.02677778930382417,0.006,0.101,10
FirstFit_Micro,ALL,ResourceUtilCPU,0.39296458333333334,0.053290764912881476,0.34787500000000005,0.476125,10
FirstFit_Micro,ALL,ResourceUtilRAM,0.2765625,0.028641098093474003,0.2578125,0.3203125,10
FirstFit_Micro,ALL,PowerConsumption,980.0,0.0,980.0,980.0,10
FirstFit_Micro,ALL,ExecutionTime,0.0039,0.0018681541692269403,0.002,0.009,10
GA_Small,ALL,ResourceUtilCPU,0.7520022916666667,0.004501233670594297,0.74433125,0.7579208333333334,10
GA_Small,ALL,ResourceUtilRAM,0.56515625,0.012422612006438113,0.5484375,0.5890625,10
GA_Small,ALL,PowerConsumption,2310.0,0.0,2310.0,2310.0,10
GA_Small,ALL,ExecutionTime,0.5074,0.0016248076809271936,0.505,0.509,10
GA_Micro,ALL,ResourceUtilCPU,0.4178354166666667,0.056609768616183,0.35784375,0.47796875,10
GA_Micro,ALL,ResourceUtilRAM,0.2890625,0.03125,0.2578125,0.3203125,10
GA_Micro,ALL,PowerConsumption,980.0,0.0,980.0,980.0,10
GA_Micro,ALL,ExecutionTime,0.0033,0.001004987562112089,0.002,0.005,10
HO_Small,ALL,ResourceUtilCPU,0.6990314702658453,0.04181106103328585,0.588562065018315,0.7520083333333334,10
HO_Small,ALL,ResourceUtilRAM,0.5237289013070263,0.033198871073862074,0.434375,0.5613839285714286,10
HO_Small,ALL,PowerConsumption,2310.0,0.0,2310.0,2310.0,10
HO_Small,ALL,ExecutionTime,120.69189999999999,240.3268036438924,0.515,601.437,10
FirstFit_Small,ALL,ResourceUtilCPU,0.7521975,0.004367103667700642,0.74433125,0.7579208333333333,10
FirstFit_Small,ALL,ResourceUtilRAM,0.5653125,0.012279301690242826,0.5484375,0.5890625,10
FirstFit_Small,ALL,PowerConsumption,2310.0,0.0,2310.0,2310.0,10
FirstFit_Small,ALL,ExecutionTime,0.5062,0.0014000000000000013,0.505,0.509,10
