Algorithm,Scenario,Replication,ResourceUtilCPU,ResourceUtilRAM,PowerConsumption,SLAViolations,ExecutionTime,ConvergenceIterations,VmAllocated,VmTotal,Timestamp
HO,Micro,0,0.3594,0.2539,980.00,10,0.41,22,10,10,2025-08-26T12:02:21.818831
HO,Micro,1,0.2782,0.1875,980.00,10,0.12,13,10,10,2025-08-26T12:02:22.0619566
HO,Micro,2,0.3212,0.2461,980.00,10,0.10,39,10,10,2025-08-26T12:02:22.2702187
HO,Micro,3,0.3439,0.2344,980.00,10,0.09,13,10,10,2025-08-26T12:02:22.4794143
HO,Micro,4,0.3502,0.2578,980.00,10,0.12,27,10,10,2025-08-26T12:02:22.7058808
HO,Micro,5,0.3502,0.2539,980.00,10,0.09,22,10,10,2025-08-26T12:02:22.9069314
HO,Micro,6,0.3311,0.2344,980.00,10,0.10,25,10,10,2025-08-26T12:02:23.1163053
HO,Micro,7,0.4612,0.3164,980.00,10,0.09,13,10,10,2025-08-26T12:02:23.307637
HO,Micro,8,0.3139,0.2227,980.00,10,0.09,26,10,10,2025-08-26T12:02:23.5073402
HO,Micro,9,0.3656,0.2578,980.00,10,0.09,22,10,10,2025-08-26T12:02:23.6973371
FirstFit,Micro,0,0.3648,0.2578,980.00,10,0.10,1,10,10,2025-08-26T12:02:23.9061406
FirstFit,Micro,1,0.3648,0.2578,980.00,10,0.09,1,10,10,2025-08-26T12:02:24.1041304
FirstFit,Micro,2,0.3366,0.2578,980.00,10,0.10,1,10,10,2025-08-26T12:02:24.3074731
FirstFit,Micro,3,0.3693,0.2578,980.00,10,0.09,1,10,10,2025-08-26T12:02:24.5072316
FirstFit,Micro,4,0.4668,0.3203,980.00,10,0.10,1,10,10,2025-08-26T12:02:24.7189423
FirstFit,Micro,5,0.3550,0.2578,980.00,10,0.08,1,10,10,2025-08-26T12:02:24.9140273
FirstFit,Micro,6,0.3583,0.2578,980.00,10,0.09,1,10,10,2025-08-26T12:02:25.1071245
FirstFit,Micro,7,0.3492,0.2578,980.00,10,0.11,1,10,10,2025-08-26T12:02:25.3250572
FirstFit,Micro,8,0.3591,0.2578,980.00,10,0.09,1,10,10,2025-08-26T12:02:25.5236453
FirstFit,Micro,9,0.3656,0.2578,980.00,10,0.11,1,10,10,2025-08-26T12:02:25.7460545
GA,Micro,0,0.3648,0.2578,980.00,10,0.09,24,10,10,2025-08-26T12:02:25.9441165
GA,Micro,1,0.3648,0.2578,980.00,10,0.09,13,10,10,2025-08-26T12:02:26.1409533
GA,Micro,2,0.4556,0.3203,980.00,10,0.09,15,10,10,2025-08-26T12:02:26.3409479
GA,Micro,3,0.3693,0.2578,980.00,10,0.09,26,10,10,2025-08-26T12:02:26.5413924
GA,Micro,4,0.4668,0.3203,980.00,10,0.09,20,10,10,2025-08-26T12:02:26.7404872
GA,Micro,5,0.3550,0.2578,980.00,10,0.10,15,10,10,2025-08-26T12:02:26.9594059
GA,Micro,6,0.3583,0.2578,980.00,10,0.08,15,10,10,2025-08-26T12:02:27.155022
GA,Micro,7,0.4668,0.3203,980.00,10,0.09,18,10,10,2025-08-26T12:02:27.3602405
GA,Micro,8,0.3591,0.2578,980.00,10,0.09,22,10,10,2025-08-26T12:02:27.5575403
GA,Micro,9,0.3656,0.2578,980.00,10,0.09,23,10,10,2025-08-26T12:02:27.757524
HO,Small,0,0.7068,0.5203,2310.00,0,602.59,101,48,48,2025-08-26T12:12:33.5437908
HO,Small,1,0.7403,0.5547,2310.00,50,0.63,101,50,50,2025-08-26T12:12:34.285485
HO,Small,2,0.6779,0.5188,2310.00,0,601.84,101,49,49,2025-08-26T12:22:36.2466928
HO,Small,3,0.7205,0.5391,2310.00,0,605.29,101,47,47,2025-08-26T12:32:41.6535731
HO,Small,4,0.7446,0.5688,2310.00,0,605.51,101,49,49,2025-08-26T12:42:47.2769583
HO,Small,5,0.6755,0.5109,2310.00,0,602.18,101,47,47,2025-08-26T12:52:49.5736451
HO,Small,6,0.6841,0.4984,2310.00,0,601.72,42,48,48,2025-08-26T13:02:51.4065065
HO,Small,7,0.7407,0.5672,2310.00,0,605.72,101,49,49,2025-08-26T13:12:57.2419745
HO,Small,8,0.7249,0.5438,2310.00,0,605.17,101,48,48,2025-08-26T13:23:02.5379519
HO,Small,9,0.7247,0.5594,2310.00,0,605.43,101,48,48,2025-08-26T13:33:08.0960648
FirstFit,Small,0,0.7579,0.5594,2310.00,50,0.63,1,50,50,2025-08-26T13:33:08.8380439
FirstFit,Small,1,0.7579,0.5594,2310.00,50,0.63,1,50,50,2025-08-26T13:33:09.5836329
FirstFit,Small,2,0.7579,0.5813,2310.00,50,0.64,1,50,50,2025-08-26T13:33:10.3345135
FirstFit,Small,3,0.7491,0.5578,2310.00,50,0.62,1,50,50,2025-08-26T13:33:11.0688343
FirstFit,Small,4,0.7534,0.5781,2310.00,50,0.62,1,50,50,2025-08-26T13:33:11.8058171
FirstFit,Small,5,0.7445,0.5750,2310.00,50,0.65,1,50,50,2025-08-26T13:33:12.5655357
FirstFit,Small,6,0.7558,0.5594,2310.00,50,0.65,1,50,50,2025-08-26T13:33:13.3175822
FirstFit,Small,7,0.7527,0.5594,2310.00,50,0.62,1,50,50,2025-08-26T13:33:14.0508126
