Scenario,Metric,Algorithm,Rank,Score,Percentage
Micro,ResourceUtilCPU,GA,1,0.4178,100.00
Micro,ResourceUtilCPU,FirstFit,2,0.3930,61.75
Micro,ResourceUtilCPU,HO,3,0.3528,0.00
Micro,ResourceUtilRAM,GA,1,0.2891,100.00
Micro,ResourceUtilRAM,FirstFit,2,0.2766,71.68
Micro,ResourceUtilRAM,HO,3,0.2449,0.00
Micro,PowerConsumption,FirstFit,1,980.0000,100.00
Micro,PowerConsumption,HO,2,980.0000,100.00
Micro,PowerConsumption,GA,3,980.0000,100.00
Micro,ExecutionTime,FirstFit,1,0.0477,100.00
Micro,ExecutionTime,GA,2,0.0493,96.66
Micro,ExecutionTime,HO,3,0.0956,-0.00
Small,ResourceUtilCPU,FirstFit,1,0.7522,100.00
Small,ResourceUtilCPU,GA,2,0.7520,99.68
Small,ResourceUtilCPU,HO,3,0.6908,0.00
Small,ResourceUtilRAM,FirstFit,1,0.5653,100.00
Small,ResourceUtilRAM,GA,2,0.5652,99.60
Small,ResourceUtilRAM,HO,3,0.5267,0.00
Small,PowerConsumption,FirstFit,1,2310.0000,100.00
Small,PowerConsumption,HO,2,2310.0000,100.00
Small,PowerConsumption,GA,3,2310.0000,100.00
Small,ExecutionTime,GA,1,0.5804,100.00
Small,ExecutionTime,FirstFit,2,0.5865,100.00
Small,ExecutionTime,HO,3,543.4053,-0.00
Medium,ResourceUtilCPU,GA,1,0.7361,100.00
Medium,ResourceUtilCPU,FirstFit,2,0.7357,98.92
Medium,ResourceUtilCPU,HO,3,0.6992,0.00
Medium,ResourceUtilRAM,GA,1,0.5625,100.00
Medium,ResourceUtilRAM,FirstFit,2,0.5622,98.77
Medium,ResourceUtilRAM,HO,3,0.5370,0.00
Medium,PowerConsumption,FirstFit,1,4620.0000,100.00
Medium,PowerConsumption,HO,2,4620.0000,100.00
Medium,PowerConsumption,GA,3,4620.0000,100.00
Medium,ExecutionTime,GA,1,1.1080,100.00
Medium,ExecutionTime,FirstFit,2,1.1125,100.00
Medium,ExecutionTime,HO,3,481.8232,-0.00
