Algorithm1,Algorithm2,Scenario,Metric,Mean1,Mean2,Difference,PercentageDiff,BetterAlgorithm
HO,FirstFit,Micro,ResourceUtilCPU,0.3528,0.3930,-0.0401,-10.22,FirstFit
HO,FirstFit,Micro,ResourceUtilRAM,0.2449,0.2766,-0.0316,-11.44,FirstFit
HO,FirstFit,Micro,PowerConsumption,980.0000,980.0000,0.0000,0.00,FirstFit
HO,FirstFit,Micro,ExecutionTime,0.0956,0.0477,0.0479,100.42,FirstFit
HO,FirstFit,Small,ResourceUtilCPU,0.6908,0.7522,-0.0614,-8.17,FirstFit
HO,FirstFit,Small,ResourceUtilRAM,0.5267,0.5653,-0.0386,-6.83,FirstFit
HO,FirstFit,Small,PowerConsumption,2310.0000,2310.0000,0.0000,0.00,FirstFit
HO,FirstFit,Small,ExecutionTime,543.4053,0.5865,542.8188,92552.23,FirstFit
HO,FirstFit,Medium,ResourceUtilCPU,0.6992,0.7357,-0.0366,-4.97,FirstFit
HO,FirstFit,Medium,ResourceUtilRAM,0.5370,0.5622,-0.0252,-4.48,FirstFit
HO,FirstFit,Medium,PowerConsumption,4620.0000,4620.0000,0.0000,0.00,FirstFit
HO,FirstFit,Medium,ExecutionTime,481.8232,1.1125,480.7107,43209.95,FirstFit
HO,GA,Micro,ResourceUtilCPU,0.3528,0.4178,-0.0650,-15.56,GA
HO,GA,Micro,ResourceUtilRAM,0.2449,0.2891,-0.0441,-15.27,GA
HO,GA,Micro,PowerConsumption,980.0000,980.0000,0.0000,0.00,GA
HO,GA,Micro,ExecutionTime,0.0956,0.0493,0.0463,93.91,GA
HO,GA,Small,ResourceUtilCPU,0.6908,0.7520,-0.0612,-8.14,GA
HO,GA,Small,ResourceUtilRAM,0.5267,0.5652,-0.0384,-6.80,GA
HO,GA,Small,PowerConsumption,2310.0000,2310.0000,0.0000,0.00,GA
HO,GA,Small,ExecutionTime,543.4053,0.5804,542.8249,93526.00,GA
HO,GA,Medium,ResourceUtilCPU,0.6992,0.7361,-0.0370,-5.02,GA
HO,GA,Medium,ResourceUtilRAM,0.5370,0.5625,-0.0255,-4.53,GA
HO,GA,Medium,PowerConsumption,4620.0000,4620.0000,0.0000,0.00,GA
HO,GA,Medium,ExecutionTime,481.8232,1.1080,480.7152,43385.85,GA
FirstFit,GA,Micro,ResourceUtilCPU,0.3930,0.4178,-0.0249,-5.95,GA
FirstFit,GA,Micro,ResourceUtilRAM,0.2766,0.2891,-0.0125,-4.32,GA
FirstFit,GA,Micro,PowerConsumption,980.0000,980.0000,0.0000,0.00,GA
FirstFit,GA,Micro,ExecutionTime,0.0477,0.0493,-0.0016,-3.25,FirstFit
FirstFit,GA,Small,ResourceUtilCPU,0.7522,0.7520,0.0002,0.03,FirstFit
FirstFit,GA,Small,ResourceUtilRAM,0.5653,0.5652,0.0002,0.03,FirstFit
FirstFit,GA,Small,PowerConsumption,2310.0000,2310.0000,0.0000,0.00,GA
FirstFit,GA,Small,ExecutionTime,0.5865,0.5804,0.0061,1.05,GA
FirstFit,GA,Medium,ResourceUtilCPU,0.7357,0.7361,-0.0004,-0.05,GA
FirstFit,GA,Medium,ResourceUtilRAM,0.5622,0.5625,-0.0003,-0.06,GA
FirstFit,GA,Medium,PowerConsumption,4620.0000,4620.0000,0.0000,0.00,GA
FirstFit,GA,Medium,ExecutionTime,1.1125,1.1080,0.0045,0.41,GA
