Algorithm,Scenario,Replication,Iteration,BestFitness,AverageFitness,PopulationDiversity,ImprovementRate,Timestamp
HO,Micro,0,12,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8424471
HO,Micro,1,29,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8424471
HO,Micro,2,32,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8424471
HO,Micro,3,27,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8424471
HO,Micro,4,40,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8577691
HO,Micro,5,31,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Micro,6,30,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Micro,7,40,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Micro,8,35,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Micro,9,12,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Small,0,101,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Small,1,101,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Small,2,31,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Small,3,101,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Small,4,41,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Small,5,101,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Small,6,101,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Small,7,101,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Small,8,101,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Small,9,101,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Medium,0,101,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Medium,1,101,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Medium,2,101,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Medium,3,30,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Medium,4,101,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Medium,5,101,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Medium,6,30,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Medium,7,101,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Medium,8,101,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
HO,Medium,9,101,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
GA,Micro,0,21,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
GA,Micro,1,12,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
GA,Micro,2,27,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
GA,Micro,3,11,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
GA,Micro,4,19,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
GA,Micro,5,18,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
GA,Micro,6,14,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
GA,Micro,7,23,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
GA,Micro,8,15,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
GA,Micro,9,12,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
GA,Small,0,25,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
GA,Small,1,23,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
GA,Small,2,13,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
GA,Small,3,23,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8582818
GA,Small,4,15,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.87395
GA,Small,5,11,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.8743796
GA,Small,6,26,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.875028
GA,Small,7,27,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.875028
GA,Small,8,18,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.875028
GA,Small,9,10,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.875028
GA,Medium,0,20,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.875028
GA,Medium,1,26,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.875028
GA,Medium,2,12,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.875028
GA,Medium,3,29,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.875028
GA,Medium,4,14,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.875028
GA,Medium,5,25,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.875028
GA,Medium,6,15,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.875028
GA,Medium,7,20,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.875028
GA,Medium,8,14,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.875028
GA,Medium,9,19,0.000000,0.000000,0.0000,0.000000,2025-08-30T21:31:20.875028
