AlphaValue,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,LeaderInfluence
0.50,Micro,0.3528,0.2449,980.00,0.0956,0.55
0.50,Small,0.6908,0.5267,2310.00,543.4053,0.55
0.50,Medium,0.6992,0.5370,4620.00,481.8232,0.55
0.60,Micro,0.3528,0.2449,980.00,0.0956,0.64
0.60,Small,0.6908,0.5267,2310.00,543.4053,0.64
0.60,Medium,0.6992,0.5370,4620.00,481.8232,0.64
0.70,Micro,0.3528,0.2449,980.00,0.0956,0.73
0.70,Small,0.6908,0.5267,2310.00,543.4053,0.73
0.70,Medium,0.6992,0.5370,4620.00,481.8232,0.73
0.75,Micro,0.3528,0.2449,980.00,0.0956,0.78
0.75,Small,0.6908,0.5267,2310.00,543.4053,0.78
0.75,Medium,0.6992,0.5370,4620.00,481.8232,0.78
0.80,Micro,0.3528,0.2449,980.00,0.0956,0.82
0.80,Small,0.6908,0.5267,2310.00,543.4053,0.82
0.80,Medium,0.6992,0.5370,4620.00,481.8232,0.82
0.90,Micro,0.3528,0.2449,980.00,0.0956,0.91
0.90,Small,0.6908,0.5267,2310.00,543.4053,0.91
0.90,Medium,0.6992,0.5370,4620.00,481.8232,0.91
