MaxIterations,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ConvergenceQuality
80,Micro,0.3528,0.2449,980.00,0.0956,0.66
80,Small,0.6908,0.5267,2310.00,543.4053,0.66
80,Medium,0.6992,0.5370,4620.00,481.8232,0.66
120,Micro,0.3528,0.2449,980.00,0.0956,0.74
120,Small,0.6908,0.5267,2310.00,543.4053,0.74
120,Medium,0.6992,0.5370,4620.00,481.8232,0.74
150,Micro,0.3528,0.2449,980.00,0.0956,0.80
150,Small,0.6908,0.5267,2310.00,543.4053,0.80
150,Medium,0.6992,0.5370,4620.00,481.8232,0.80
200,Micro,0.3528,0.2449,980.00,0.0956,0.90
200,Small,0.6908,0.5267,2310.00,543.4053,0.90
200,Medium,0.6992,0.5370,4620.00,481.8232,0.90
250,Micro,0.3528,0.2449,980.00,0.0956,0.98
250,Small,0.6908,0.5267,2310.00,543.4053,0.98
250,Medium,0.6992,0.5370,4620.00,481.8232,0.98
300,Micro,0.3528,0.2449,980.00,0.0956,0.98
300,Small,0.6908,0.5267,2310.00,543.4053,0.98
300,Medium,0.6992,0.5370,4620.00,481.8232,0.98
