PopulationSize,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ConvergenceRate
50,Micro,0.3528,0.2449,980.00,0.0956,0.85
50,Small,0.6908,0.5267,2310.00,543.4053,0.85
50,Medium,0.6992,0.5370,4620.00,481.8232,0.85
75,Micro,0.3528,0.2449,980.00,0.0956,0.95
75,Small,0.6908,0.5267,2310.00,543.4053,0.95
75,Medium,0.6992,0.5370,4620.00,481.8232,0.95
100,Micro,0.3528,0.2449,980.00,0.0956,0.95
100,Small,0.6908,0.5267,2310.00,543.4053,0.95
100,Medium,0.6992,0.5370,4620.00,481.8232,0.95
120,Micro,0.3528,0.2449,980.00,0.0956,0.95
120,Small,0.6908,0.5267,2310.00,543.4053,0.95
120,Medium,0.6992,0.5370,4620.00,481.8232,0.95
150,Micro,0.3528,0.2449,980.00,0.0956,0.95
150,Small,0.6908,0.5267,2310.00,543.4053,0.95
150,Medium,0.6992,0.5370,4620.00,481.8232,0.95
200,Micro,0.3528,0.2449,980.00,0.0956,0.95
200,Small,0.6908,0.5267,2310.00,543.4053,0.95
200,Medium,0.6992,0.5370,4620.00,481.8232,0.95
