Algorithm,Scenario,Replication,ResourceUtilCPU,ResourceUtilRAM,PowerConsumption,SLAViolations,ExecutionTime,ConvergenceIterations,VmAllocated,VmTotal,Timestamp
HO,Micro,0,0.2681,0.1758,980.00,10,0.45,12,10,10,2025-08-30T18:39:31.8354809
HO,Micro,1,0.3447,0.2383,980.00,10,0.06,29,10,10,2025-08-30T18:39:32.0018444
HO,Micro,2,0.2904,0.2031,980.00,10,0.05,32,10,10,2025-08-30T18:39:32.1631676
HO,Micro,3,0.2990,0.1992,980.00,10,0.07,27,10,10,2025-08-30T18:39:32.340545
HO,Micro,4,0.3593,0.2578,980.00,10,0.06,40,10,10,2025-08-30T18:39:32.5197565
HO,Micro,5,0.4723,0.3203,980.00,10,0.07,31,10,10,2025-08-30T18:39:32.6892031
HO,Micro,6,0.3490,0.2578,980.00,10,0.05,30,10,10,2025-08-30T18:39:32.8475503
HO,Micro,7,0.3578,0.2578,980.00,10,0.06,40,10,10,2025-08-30T18:39:33.0198356
HO,Micro,8,0.4353,0.2813,980.00,10,0.05,35,10,10,2025-08-30T18:39:33.18291
HO,Micro,9,0.3523,0.2578,980.00,10,0.05,12,10,10,2025-08-30T18:39:33.3463056
FirstFit,Micro,0,0.3648,0.2578,980.00,10,0.05,1,10,10,2025-08-30T18:39:33.5091213
FirstFit,Micro,1,0.3648,0.2578,980.00,10,0.05,1,10,10,2025-08-30T18:39:33.6693581
FirstFit,Micro,2,0.3479,0.2578,980.00,10,0.05,1,10,10,2025-08-30T18:39:33.8268745
FirstFit,Micro,3,0.3597,0.2578,980.00,10,0.04,1,10,10,2025-08-30T18:39:33.9826961
FirstFit,Micro,4,0.3593,0.2578,980.00,10,0.05,1,10,10,2025-08-30T18:39:34.1403548
FirstFit,Micro,5,0.4723,0.3203,980.00,10,0.05,1,10,10,2025-08-30T18:39:34.2931189
FirstFit,Micro,6,0.4737,0.3203,980.00,10,0.06,1,10,10,2025-08-30T18:39:34.4688101
FirstFit,Micro,7,0.3578,0.2578,980.00,10,0.05,1,10,10,2025-08-30T18:39:34.6251747
FirstFit,Micro,8,0.3532,0.2578,980.00,10,0.04,1,10,10,2025-08-30T18:39:34.7868613
FirstFit,Micro,9,0.4761,0.3203,980.00,10,0.05,1,10,10,2025-08-30T18:39:34.9429335
GA,Micro,0,0.3648,0.2578,980.00,10,0.06,21,10,10,2025-08-30T18:39:35.1054248
GA,Micro,1,0.3648,0.2578,980.00,10,0.05,12,10,10,2025-08-30T18:39:35.2642031
GA,Micro,2,0.4718,0.3203,980.00,10,0.05,27,10,10,2025-08-30T18:39:35.4346272
GA,Micro,3,0.3597,0.2578,980.00,10,0.05,11,10,10,2025-08-30T18:39:35.589352
GA,Micro,4,0.3593,0.2578,980.00,10,0.05,19,10,10,2025-08-30T18:39:35.7465106
GA,Micro,5,0.4723,0.3203,980.00,10,0.05,18,10,10,2025-08-30T18:39:35.9177129
GA,Micro,6,0.4737,0.3203,980.00,10,0.05,14,10,10,2025-08-30T18:39:36.0763174
GA,Micro,7,0.3578,0.2578,980.00,10,0.04,23,10,10,2025-08-30T18:39:36.229891
GA,Micro,8,0.4780,0.3203,980.00,10,0.05,15,10,10,2025-08-30T18:39:36.3871935
GA,Micro,9,0.4761,0.3203,980.00,10,0.05,12,10,10,2025-08-30T18:39:36.5537977
HO,Small,0,0.6673,0.5125,2310.00,0,601.30,101,46,46,2025-08-30T18:49:41.0085897
HO,Small,1,0.7019,0.5297,2310.00,0,601.07,101,47,47,2025-08-30T18:59:42.212459
HO,Small,2,0.7225,0.5516,2310.00,0,605.90,31,47,47,2025-08-30T19:09:48.2279606
HO,Small,3,0.7141,0.5469,2310.00,0,605.86,101,48,48,2025-08-30T19:19:54.1992172
HO,Small,4,0.6628,0.5000,2310.00,0,605.75,41,49,49,2025-08-30T19:30:00.0545101
HO,Small,5,0.6607,0.5156,2310.00,0,605.51,101,48,48,2025-08-30T19:40:05.6809096
HO,Small,6,0.7152,0.5563,2310.00,50,0.60,101,50,50,2025-08-30T19:40:06.3950831
HO,Small,7,0.6461,0.5141,2310.00,0,601.35,101,47,47,2025-08-30T19:50:07.8605745
HO,Small,8,0.7353,0.5516,2310.00,0,601.38,101,48,48,2025-08-30T20:00:09.3596821
HO,Small,9,0.6816,0.4891,2310.00,0,605.34,101,48,48,2025-08-30T20:10:14.8447557
FirstFit,Small,0,0.7579,0.5594,2310.00,50,0.58,1,50,50,2025-08-30T20:10:15.5433695
FirstFit,Small,1,0.7579,0.5594,2310.00,50,0.60,1,50,50,2025-08-30T20:10:16.2596412
FirstFit,Small,2,0.7476,0.5578,2310.00,50,0.61,1,50,50,2025-08-30T20:10:16.9763606
FirstFit,Small,3,0.7500,0.5547,2310.00,50,0.57,1,50,50,2025-08-30T20:10:17.6598339
FirstFit,Small,4,0.7556,0.5813,2310.00,50,0.58,1,50,50,2025-08-30T20:10:18.3502895
FirstFit,Small,5,0.7535,0.5891,2310.00,50,0.58,1,50,50,2025-08-30T20:10:19.0453213
FirstFit,Small,6,0.7478,0.5766,2310.00,50,0.58,1,50,50,2025-08-30T20:10:19.740204
FirstFit,Small,7,0.7443,0.5484,2310.00,50,0.61,1,50,50,2025-08-30T20:10:20.4603048
FirstFit,Small,8,0.7541,0.5672,2310.00,50,0.57,1,50,50,2025-08-30T20:10:21.1426329
FirstFit,Small,9,0.7532,0.5594,2310.00,50,0.60,1,50,50,2025-08-30T20:10:21.8543386
GA,Small,0,0.7579,0.5594,2310.00,50,0.58,25,50,50,2025-08-30T20:10:22.5452871
GA,Small,1,0.7579,0.5594,2310.00,50,0.59,23,50,50,2025-08-30T20:10:23.2444689
GA,Small,2,0.7476,0.5578,2310.00,50,0.57,13,50,50,2025-08-30T20:10:23.9218425
GA,Small,3,0.7481,0.5531,2310.00,50,0.56,23,50,50,2025-08-30T20:10:24.5955151
