Algorithm,Scenario,Replication,Iteration,BestFitness,AverageFitness,PopulationDiversity,ImprovementRate,Timestamp
HO,Micro,0,24,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8063805
HO,Micro,1,24,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Micro,2,21,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Micro,3,24,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Micro,4,24,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Micro,5,22,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Micro,6,22,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Micro,7,21,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Micro,8,22,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Micro,9,36,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Small,0,60,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Small,1,60,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Small,2,70,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Small,3,101,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Small,4,90,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Small,5,79,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Small,6,41,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Small,7,79,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Small,8,31,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Small,9,72,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Medium,0,101,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Medium,1,98,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Medium,2,101,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Medium,3,101,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Medium,4,101,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Medium,5,75,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Medium,6,92,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Medium,7,61,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8095758
HO,Medium,8,79,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8205807
HO,Medium,9,89,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8205807
GA,Micro,0,28,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.821587
GA,Micro,1,17,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.821587
GA,Micro,2,16,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.821587
GA,Micro,3,17,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8225872
GA,Micro,4,17,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8225872
GA,Micro,5,11,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8225872
GA,Micro,6,24,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8235865
GA,Micro,7,24,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8235865
GA,Micro,8,16,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8235865
GA,Micro,9,28,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8235865
GA,Small,0,11,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8245851
GA,Small,1,11,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8245851
GA,Small,2,19,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8245851
GA,Small,3,20,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8255875
GA,Small,4,25,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8261969
GA,Small,5,24,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8261969
GA,Small,6,14,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8261969
GA,Small,7,17,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8261969
GA,Small,8,13,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8261969
GA,Small,9,28,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8261969
GA,Medium,0,13,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8261969
GA,Medium,1,23,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8261969
GA,Medium,2,15,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8261969
GA,Medium,3,28,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8261969
GA,Medium,4,29,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8261969
GA,Medium,5,26,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8261969
GA,Medium,6,23,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8261969
GA,Medium,7,20,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8261969
GA,Medium,8,10,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8261969
GA,Medium,9,25,0.000000,0.000000,0.0000,0.000000,2025-09-11T17:51:18.8261969
