AlphaValue,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,LeaderInfluence
0.50,Micro,0.3171,0.2303,980.00,0.1296,0.55
0.50,Small,0.6025,0.4602,2310.00,61.0387,0.55
0.50,Medium,0.6217,0.4737,4620.00,1.1231,0.55
0.60,Micro,0.3171,0.2303,980.00,0.1296,0.64
0.60,Small,0.6025,0.4602,2310.00,61.0387,0.64
0.60,Medium,0.6217,0.4737,4620.00,1.1231,0.64
0.70,Micro,0.3171,0.2303,980.00,0.1296,0.73
0.70,Small,0.6025,0.4602,2310.00,61.0387,0.73
0.70,Medium,0.6217,0.4737,4620.00,1.1231,0.73
0.75,Micro,0.3171,0.2303,980.00,0.1296,0.78
0.75,Small,0.6025,0.4602,2310.00,61.0387,0.78
0.75,Medium,0.6217,0.4737,4620.00,1.1231,0.78
0.80,Micro,0.3171,0.2303,980.00,0.1296,0.82
0.80,Small,0.6025,0.4602,2310.00,61.0387,0.82
0.80,Medium,0.6217,0.4737,4620.00,1.1231,0.82
0.90,Micro,0.3171,0.2303,980.00,0.1296,0.91
0.90,Small,0.6025,0.4602,2310.00,61.0387,0.91
0.90,Medium,0.6217,0.4737,4620.00,1.1231,0.91
