MaxIterations,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ConvergenceQuality
80,Micro,0.3171,0.2303,980.00,0.1296,0.66
80,Small,0.6025,0.4602,2310.00,61.0387,0.66
80,Medium,0.6217,0.4737,4620.00,1.1231,0.66
120,Micro,0.3171,0.2303,980.00,0.1296,0.74
120,Small,0.6025,0.4602,2310.00,61.0387,0.74
120,Medium,0.6217,0.4737,4620.00,1.1231,0.74
150,Micro,0.3171,0.2303,980.00,0.1296,0.80
150,Small,0.6025,0.4602,2310.00,61.0387,0.80
150,Medium,0.6217,0.4737,4620.00,1.1231,0.80
200,Micro,0.3171,0.2303,980.00,0.1296,0.90
200,Small,0.6025,0.4602,2310.00,61.0387,0.90
200,Medium,0.6217,0.4737,4620.00,1.1231,0.90
250,Micro,0.3171,0.2303,980.00,0.1296,0.98
250,Small,0.6025,0.4602,2310.00,61.0387,0.98
250,Medium,0.6217,0.4737,4620.00,1.1231,0.98
300,Micro,0.3171,0.2303,980.00,0.1296,0.98
300,Small,0.6025,0.4602,2310.00,61.0387,0.98
300,Medium,0.6217,0.4737,4620.00,1.1231,0.98
