PopulationSize,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ConvergenceRate
50,Micro,0.3171,0.2303,980.00,0.1296,0.85
50,Small,0.6025,0.4602,2310.00,61.0387,0.85
50,Medium,0.6217,0.4737,4620.00,1.1231,0.85
75,Micro,0.3171,0.2303,980.00,0.1296,0.95
75,Small,0.6025,0.4602,2310.00,61.0387,0.95
75,Medium,0.6217,0.4737,4620.00,1.1231,0.95
100,Micro,0.3171,0.2303,980.00,0.1296,0.95
100,Small,0.6025,0.4602,2310.00,61.0387,0.95
100,Medium,0.6217,0.4737,4620.00,1.1231,0.95
120,Micro,0.3171,0.2303,980.00,0.1296,0.95
120,Small,0.6025,0.4602,2310.00,61.0387,0.95
120,Medium,0.6217,0.4737,4620.00,1.1231,0.95
150,Micro,0.3171,0.2303,980.00,0.1296,0.95
150,Small,0.6025,0.4602,2310.00,61.0387,0.95
150,Medium,0.6217,0.4737,4620.00,1.1231,0.95
200,Micro,0.3171,0.2303,980.00,0.1296,0.95
200,Small,0.6025,0.4602,2310.00,61.0387,0.95
200,Medium,0.6217,0.4737,4620.00,1.1231,0.95
