Algorithm,Scenario,Replication,ResourceUtilCPU,ResourceUtilRAM,PowerConsumption,SLAViolations,ExecutionTime,ConvergenceIterations,VmAllocated,VmTotal,Timestamp
HO,Micro,0,0.3543,0.2500,980.00,0,0.69,24,10,10,2025-09-11T17:40:02.0739827
HO,Micro,1,0.2471,0.1602,980.00,0,0.07,24,10,10,2025-09-11T17:40:02.2623911
HO,Micro,2,0.3479,0.2578,980.00,0,0.08,21,10,10,2025-09-11T17:40:02.4560282
HO,Micro,3,0.3597,0.2578,980.00,0,0.05,24,10,10,2025-09-11T17:40:02.6267437
HO,Micro,4,0.3385,0.2422,980.00,0,0.07,24,10,10,2025-09-11T17:40:02.808018
HO,Micro,5,0.3188,0.2370,980.00,0,0.08,22,10,10,2025-09-11T17:40:02.9916723
HO,Micro,6,0.3074,0.2370,980.00,0,0.07,22,10,10,2025-09-11T17:40:03.1720784
HO,Micro,7,0.3578,0.2578,980.00,0,0.08,21,10,10,2025-09-11T17:40:03.3626259
HO,Micro,8,0.3116,0.2370,980.00,0,0.06,22,10,10,2025-09-11T17:40:03.5309284
HO,Micro,9,0.2281,0.1667,980.00,0,0.06,36,10,10,2025-09-11T17:40:03.7025716
FirstFit,Micro,0,0.3648,0.2578,980.00,0,0.05,1,10,10,2025-09-11T17:40:03.8736246
FirstFit,Micro,1,0.3648,0.2578,980.00,0,0.06,1,10,10,2025-09-11T17:40:04.0392573
FirstFit,Micro,2,0.3479,0.2578,980.00,0,0.05,1,10,10,2025-09-11T17:40:04.2026409
FirstFit,Micro,3,0.3597,0.2578,980.00,0,0.06,1,10,10,2025-09-11T17:40:04.3729014
FirstFit,Micro,4,0.3593,0.2578,980.00,0,0.05,1,10,10,2025-09-11T17:40:04.5351637
FirstFit,Micro,5,0.4723,0.3203,980.00,0,0.05,1,10,10,2025-09-11T17:40:04.6929991
FirstFit,Micro,6,0.4737,0.3203,980.00,0,0.06,1,10,10,2025-09-11T17:40:04.8570143
FirstFit,Micro,7,0.3578,0.2578,980.00,0,0.05,1,10,10,2025-09-11T17:40:05.0174113
FirstFit,Micro,8,0.3532,0.2578,980.00,0,0.06,1,10,10,2025-09-11T17:40:05.191233
FirstFit,Micro,9,0.4761,0.3203,980.00,0,0.06,1,10,10,2025-09-11T17:40:05.3586157
GA,Micro,0,0.3648,0.2578,980.00,0,0.07,28,10,10,2025-09-11T17:40:05.5300635
GA,Micro,1,0.3648,0.2578,980.00,0,0.06,17,10,10,2025-09-11T17:40:05.7058556
GA,Micro,2,0.4718,0.3203,980.00,0,0.06,16,10,10,2025-09-11T17:40:05.8685882
GA,Micro,3,0.3597,0.2578,980.00,0,0.08,17,10,10,2025-09-11T17:40:06.0700013
GA,Micro,4,0.3593,0.2578,980.00,0,0.05,17,10,10,2025-09-11T17:40:06.2393841
GA,Micro,5,0.4723,0.3203,980.00,0,0.05,11,10,10,2025-09-11T17:40:06.4046053
GA,Micro,6,0.4737,0.3203,980.00,0,0.05,24,10,10,2025-09-11T17:40:06.5663584
GA,Micro,7,0.3578,0.2578,980.00,0,0.06,24,10,10,2025-09-11T17:40:06.7415109
GA,Micro,8,0.4780,0.3203,980.00,0,0.05,16,10,10,2025-09-11T17:40:06.9059885
GA,Micro,9,0.4761,0.3203,980.00,0,0.05,28,10,10,2025-09-11T17:40:07.0643004
HO,Small,0,0.6181,0.4688,2310.00,0,0.60,60,50,50,2025-09-11T17:40:10.8127386
HO,Small,1,0.6181,0.4688,2310.00,0,0.59,60,50,50,2025-09-11T17:40:11.5125969
HO,Small,2,0.6266,0.4849,2310.00,0,0.58,70,50,50,2025-09-11T17:40:12.2058085
HO,Small,3,0.5588,0.4422,2310.00,0,605.08,101,42,42,2025-09-11T17:50:17.4037235
HO,Small,4,0.6763,0.5259,2310.00,0,0.60,90,50,50,2025-09-11T17:50:18.1066358
HO,Small,5,0.5424,0.3969,2310.00,0,0.61,79,50,50,2025-09-11T17:50:18.8309756
HO,Small,6,0.5311,0.4094,2310.00,0,0.58,41,50,50,2025-09-11T17:50:19.5242823
HO,Small,7,0.6019,0.4635,2310.00,0,0.59,79,50,50,2025-09-11T17:50:20.2233064
HO,Small,8,0.6226,0.4703,2310.00,0,0.58,31,50,50,2025-09-11T17:50:20.9237654
HO,Small,9,0.6295,0.4714,2310.00,0,0.58,72,50,50,2025-09-11T17:50:21.6234864
FirstFit,Small,0,0.7579,0.5594,2310.00,0,0.60,1,50,50,2025-09-11T17:50:22.3279923
FirstFit,Small,1,0.7579,0.5594,2310.00,0,0.57,1,50,50,2025-09-11T17:50:23.0067506
FirstFit,Small,2,0.7476,0.5578,2310.00,0,0.60,1,50,50,2025-09-11T17:50:23.7210558
FirstFit,Small,3,0.7500,0.5547,2310.00,0,0.60,1,50,50,2025-09-11T17:50:24.4242252
FirstFit,Small,4,0.7556,0.5813,2310.00,0,0.59,1,50,50,2025-09-11T17:50:25.1239746
FirstFit,Small,5,0.7535,0.5891,2310.00,0,0.58,1,50,50,2025-09-11T17:50:25.823224
FirstFit,Small,6,0.7478,0.5766,2310.00,0,0.58,1,50,50,2025-09-11T17:50:26.5233021
FirstFit,Small,7,0.7443,0.5484,2310.00,0,0.58,1,50,50,2025-09-11T17:50:27.2231279
FirstFit,Small,8,0.7541,0.5672,2310.00,0,0.59,1,50,50,2025-09-11T17:50:27.9312237
FirstFit,Small,9,0.7532,0.5594,2310.00,0,0.58,1,50,50,2025-09-11T17:50:28.6213021
GA,Small,0,0.7579,0.5594,2310.00,0,0.59,11,50,50,2025-09-11T17:50:29.3235364
GA,Small,1,0.7579,0.5594,2310.00,0,0.61,11,50,50,2025-09-11T17:50:30.0559251
GA,Small,2,0.7476,0.5578,2310.00,0,0.58,19,50,50,2025-09-11T17:50:30.7570524
GA,Small,3,0.7481,0.5531,2310.00,0,0.58,20,50,50,2025-09-11T17:50:31.4557229
GA,Small,4,0.7556,0.5813,2310.00,0,0.59,25,50,50,2025-09-11T17:50:32.1567576
GA,Small,5,0.7535,0.5891,2310.00,0,0.58,24,50,50,2025-09-11T17:50:32.8568245
GA,Small,6,0.7478,0.5766,2310.00,0,0.58,14,50,50,2025-09-11T17:50:33.540306
GA,Small,7,0.7443,0.5484,2310.00,0,0.60,17,50,50,2025-09-11T17:50:34.242046
