Algorithm,VmCount,HostCount,ExecutionTime,MemoryUsage,CpuUtilization,QualityScore,SuccessRate
GA,50,10,0.585,0.0,0.7579208333333334,0.0,1.0
GA,50,10,0.613,0.0,0.7579208333333334,0.0,1.0
GA,50,10,0.584,0.0,0.7476270833333333,0.0,1.0
GA,50,10,0.581,0.0,0.7480770833333334,0.0,1.0
GA,50,10,0.594,0.0,0.7556125,0.0,1.0
GA,50,10,0.579,0.0,0.7534583333333333,0.0,1.0
GA,50,10,0.578,0.0,0.7477541666666666,0.0,1.0
GA,50,10,0.598,0.0,0.74433125,0.0,1.0
GA,50,10,0.578,0.0,0.7541395833333333,0.0,1.0
GA,50,10,0.595,0.0,0.7531812500000001,0.0,1.0
GA,100,20,1.11,0.0,0.7328135416666666,0.0,1.0
GA,100,20,1.114,0.0,0.7328135416666666,0.0,1.0
GA,100,20,1.131,0.0,0.7410822916666666,0.0,1.0
GA,100,20,1.115,0.0,0.7357812499999998,0.0,1.0
GA,100,20,1.106,0.0,0.7402843750000001,0.0,1.0
GA,100,20,1.133,0.0,0.7416645833333334,0.0,1.0
GA,100,20,1.116,0.0,0.7317187500000001,0.0,1.0
GA,100,20,1.12,0.0,0.73149375,0.0,1.0
GA,100,20,1.097,0.0,0.726778125,0.0,1.0
GA,100,20,1.103,0.0,0.7467979166666666,0.0,1.0
GA,10,4,0.065,0.0,0.36478125,0.0,1.0
GA,10,4,0.064,0.0,0.36478125,0.0,1.0
GA,10,4,0.055,0.0,0.4718333333333333,0.0,1.0
GA,10,4,0.083,0.0,0.35971875,0.0,1.0
GA,10,4,0.053,0.0,0.35931250000000003,0.0,1.0
GA,10,4,0.049,0.0,0.47225,0.0,1.0
GA,10,4,0.049,0.0,0.4737395833333333,0.0,1.0
GA,10,4,0.06,0.0,0.35784375,0.0,1.0
GA,10,4,0.048,0.0,0.47796875,0.0,1.0
GA,10,4,0.049,0.0,0.476125,0.0,1.0
