Algorithm,Scenario,Metric,Mean,StdDev,Min,Max,Count
GA_Medium,ALL,ResourceUtilCPU,0.7361228125,0.005803020691225826,0.726778125,0.7467979166666666,10
GA_Medium,ALL,ResourceUtilRAM,0.5625,0.00874860479948087,0.54609375,0.575,10
GA_Medium,ALL,PowerConsumption,4620.0,0.0,4620.0,4620.0,10
GA_Medium,ALL,ExecutionTime,1.1145,0.010855873986004079,1.097,1.133,10
HO_Medium,ALL,ResourceUtilCPU,0.6217002549603174,0.033447420573674586,0.5655743750000001,0.6819697916666667,10
HO_Medium,ALL,ResourceUtilRAM,0.47374702380952377,0.025319006890209217,0.4259375,0.5197916666666667,10
HO_Medium,ALL,PowerConsumption,4620.0,0.0,4620.0,4620.0,10
HO_Medium,ALL,ExecutionTime,1.1231,0.01055888251663024,1.095,1.133,10
FirstFit_Medium,ALL,ResourceUtilCPU,0.7357245833333333,0.0062812106514798585,0.7256385416666667,0.7467979166666667,10
FirstFit_Medium,ALL,ResourceUtilRAM,0.5621875000000001,0.009363273916611639,0.54296875,0.575,10
FirstFit_Medium,ALL,PowerConsumption,4620.0,0.0,4620.0,4620.0,10
FirstFit_Medium,ALL,ExecutionTime,1.1194000000000002,0.0061514225996918605,1.112,1.129,10
HO_Micro,ALL,ResourceUtilCPU,0.31711996527777775,0.04383115480940881,0.22810069444444442,0.35971875,10
HO_Micro,ALL,ResourceUtilRAM,0.23033854166666665,0.03450127729179928,0.16015625,0.2578125,10
HO_Micro,ALL,PowerConsumption,980.0,0.0,980.0,980.0,10
HO_Micro,ALL,ExecutionTime,0.1296,0.1867148628256465,0.05,0.689,10
FirstFit_Micro,ALL,ResourceUtilCPU,0.39296458333333334,0.053290764912881476,0.34787500000000005,0.476125,10
FirstFit_Micro,ALL,ResourceUtilRAM,0.2765625,0.028641098093474003,0.2578125,0.3203125,10
FirstFit_Micro,ALL,PowerConsumption,980.0,0.0,980.0,980.0,10
FirstFit_Micro,ALL,ExecutionTime,0.054900000000000004,0.0055036351623268046,0.047,0.063,10
GA_Small,ALL,ResourceUtilCPU,0.7520022916666667,0.004501233670594297,0.74433125,0.7579208333333334,10
GA_Small,ALL,ResourceUtilRAM,0.56515625,0.012422612006438113,0.5484375,0.5890625,10
GA_Small,ALL,PowerConsumption,2310.0,0.0,2310.0,2310.0,10
GA_Small,ALL,ExecutionTime,0.5885,0.010781929326423922,0.578,0.613,10
GA_Micro,ALL,ResourceUtilCPU,0.4178354166666667,0.056609768616183,0.35784375,0.47796875,10
GA_Micro,ALL,ResourceUtilRAM,0.2890625,0.03125,0.2578125,0.3203125,10
GA_Micro,ALL,PowerConsumption,980.0,0.0,980.0,980.0,10
GA_Micro,ALL,ExecutionTime,0.05750000000000001,0.010433120338613948,0.048,0.083,10
HO_Small,ALL,ResourceUtilCPU,0.6025427976190476,0.04273665116060307,0.5310583333333334,0.676263392857143,10
HO_Small,ALL,ResourceUtilRAM,0.4601934523809524,0.034967372602964265,0.396875,0.5258928571428572,10
HO_Small,ALL,PowerConsumption,2310.0,0.0,2310.0,2310.0,10
HO_Small,ALL,ExecutionTime,61.03869999999999,181.34810035346385,0.575,605.083,10
FirstFit_Small,ALL,ResourceUtilCPU,0.7521975,0.004367103667700642,0.74433125,0.7579208333333333,10
FirstFit_Small,ALL,ResourceUtilRAM,0.5653125,0.012279301690242826,0.5484375,0.5890625,10
FirstFit_Small,ALL,PowerConsumption,2310.0,0.0,2310.0,2310.0,10
FirstFit_Small,ALL,ExecutionTime,0.587,0.008843076387773666,0.574,0.597,10
