Algorithm,Scenario,Replication,Iteration,BestFitness,AverageFitness,PopulationDiversity,ImprovementRate,Timestamp
HO,Micro,0,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.531403204
HO,Micro,1,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.531758933
HO,Micro,2,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.531859749
HO,Micro,3,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.531958388
HO,Micro,4,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.532029672
HO,Small,0,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.532107014
HO,Small,1,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.532179645
HO,Small,2,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.532251669
HO,Small,3,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.532332296
HO,Small,4,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.532405398
HO,Medium,0,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.532484083
HO,Medium,1,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.532559501
HO,Medium,2,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.532635596
HO,Medium,3,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.532708085
HO,Medium,4,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.532786174
HO,Large,0,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.532863279
HO,Large,1,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.532964533
HO,Large,2,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.533044406
HO,Large,3,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.533145485
HO,Large,4,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.533261553
HO,XLarge,0,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.533379862
HO,XLarge,1,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.533486514
HO,XLarge,2,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.533606545
HO,XLarge,3,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.53372463
HO,XLarge,4,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.533814536
GA,Micro,0,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.533952762
GA,Micro,1,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.534031737
GA,Micro,2,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.534117677
GA,Micro,3,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.534183191
GA,Micro,4,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.534251401
GA,Small,0,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.534323586
GA,Small,1,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.534392235
GA,Small,2,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.534457957
GA,Small,3,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.534530904
GA,Small,4,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.534596557
GA,Medium,0,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.5346642
GA,Medium,1,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.534729866
GA,Medium,2,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.534794275
GA,Medium,3,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.534861434
GA,Medium,4,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.534954028
GA,Large,0,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.535025658
GA,Large,1,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.535092263
GA,Large,2,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.535214712
GA,Large,3,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.535322892
GA,Large,4,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.537079996
GA,XLarge,0,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.537547817
GA,XLarge,1,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.537684181
GA,XLarge,2,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.537794473
GA,XLarge,3,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.537909759
GA,XLarge,4,1,0.000000,0.000000,0.0000,0.000000,2025-07-29T19:49:04.538015466
