Algorithm,Scenario,Replication,ResourceUtilCPU,ResourceUtilRAM,PowerConsumption,SLAViolations,ExecutionTime,ConvergenceIterations,VmAllocated,VmTotal,Timestamp
HO,Micro,0,0.0000,0.0000,700.00,0,0.13,1,9,10,2025-07-29T19:47:49.184022832
HO,Micro,1,0.0000,0.0000,700.00,0,0.04,1,9,10,2025-07-29T19:47:49.22665378
HO,Micro,2,0.0000,0.0000,700.00,0,0.03,1,9,10,2025-07-29T19:47:49.25877874
HO,Micro,3,0.0000,0.0000,700.00,0,0.02,1,9,10,2025-07-29T19:47:49.284989421
HO,Micro,4,0.0000,0.0000,700.00,0,0.02,1,9,10,2025-07-29T19:47:49.308194589
FirstFit,Micro,0,0.0000,0.0000,700.00,0,0.01,1,9,10,2025-07-29T19:47:49.320167537
FirstFit,Micro,1,0.0000,0.0000,700.00,0,0.01,1,9,10,2025-07-29T19:47:49.329072624
FirstFit,Micro,2,0.0000,0.0000,700.00,0,0.01,1,9,10,2025-07-29T19:47:49.339088697
FirstFit,Micro,3,0.0000,0.0000,700.00,0,0.01,1,9,10,2025-07-29T19:47:49.350502738
FirstFit,Micro,4,0.0000,0.0000,700.00,0,0.02,1,9,10,2025-07-29T19:47:49.368912122
GA,Micro,0,0.0000,0.0000,700.00,0,0.01,1,9,10,2025-07-29T19:47:49.385138225
GA,Micro,1,0.0000,0.0000,700.00,0,0.01,1,9,10,2025-07-29T19:47:49.39715097
GA,Micro,2,0.0000,0.0000,700.00,0,0.01,1,9,10,2025-07-29T19:47:49.407546645
GA,Micro,3,0.0000,0.0000,700.00,0,0.01,1,9,10,2025-07-29T19:47:49.416701366
GA,Micro,4,0.0000,0.0000,700.00,0,0.01,1,9,10,2025-07-29T19:47:49.426118812
HO,Small,0,0.0000,0.0000,1750.00,0,0.35,1,22,25,2025-07-29T19:47:52.793664007
HO,Small,1,0.0000,0.0000,1750.00,0,0.32,1,22,25,2025-07-29T19:47:53.118816117
HO,Small,2,0.0000,0.0000,1750.00,0,0.34,1,22,25,2025-07-29T19:47:53.461951749
HO,Small,3,0.0000,0.0000,1750.00,0,0.33,1,22,25,2025-07-29T19:47:53.796364146
HO,Small,4,0.0000,0.0000,1750.00,0,0.33,1,22,25,2025-07-29T19:47:54.126307055
FirstFit,Small,0,0.0000,0.0000,1750.00,0,0.31,1,22,25,2025-07-29T19:47:54.434578023
FirstFit,Small,1,0.0000,0.0000,1750.00,0,0.31,1,22,25,2025-07-29T19:47:54.743597971
FirstFit,Small,2,0.0000,0.0000,1750.00,0,0.31,1,22,25,2025-07-29T19:47:55.056969878
FirstFit,Small,3,0.0000,0.0000,1750.00,0,0.31,1,22,25,2025-07-29T19:47:55.371264664
FirstFit,Small,4,0.0000,0.0000,1750.00,0,0.31,1,22,25,2025-07-29T19:47:55.680899694
GA,Small,0,0.0000,0.0000,1750.00,0,0.31,1,22,25,2025-07-29T19:47:55.992520395
GA,Small,1,0.0000,0.0000,1750.00,0,0.31,1,22,25,2025-07-29T19:47:56.303686198
GA,Small,2,0.0000,0.0000,1750.00,0,0.31,1,22,25,2025-07-29T19:47:56.616410903
GA,Small,3,0.0000,0.0000,1750.00,0,0.31,1,22,25,2025-07-29T19:47:56.92866571
GA,Small,4,0.0000,0.0000,1750.00,0,0.31,1,22,25,2025-07-29T19:47:57.238914251
HO,Medium,0,0.0000,0.0000,3220.00,0,0.54,1,45,50,2025-07-29T19:48:00.80284919
HO,Medium,1,0.0000,0.0000,3220.00,0,0.55,1,45,50,2025-07-29T19:48:01.353526074
HO,Medium,2,0.0000,0.0000,3220.00,0,0.54,1,45,50,2025-07-29T19:48:01.899249822
HO,Medium,3,0.0000,0.0000,3220.00,0,0.53,1,45,50,2025-07-29T19:48:02.434862519
HO,Medium,4,0.0000,0.0000,3220.00,0,0.53,1,45,50,2025-07-29T19:48:02.967289475
