Algorithm,VmCount,HostCount,ExecutionTime,MemoryUsage,CpuUtilization,QualityScore,SuccessRate
GA,25,8,0.31,0.0,0.0,0.0,1.0
GA,25,8,0.309,0.0,0.0,0.0,1.0
GA,25,8,0.311,0.0,0.0,0.0,1.0
GA,25,8,0.311,0.0,0.0,0.0,1.0
GA,25,8,0.309,0.0,0.0,0.0,1.0
GA,200,50,2.05,0.0,0.0,0.0,1.0
GA,200,50,2.047,0.0,0.0,0.0,1.0
GA,200,50,2.04,0.0,0.0,0.0,1.0
GA,200,50,2.043,0.0,0.0,0.0,1.0
GA,200,50,2.051,0.0,0.0,0.0,1.0
GA,50,15,0.514,0.0,0.0,0.0,1.0
GA,50,15,0.513,0.0,0.0,0.0,1.0
GA,50,15,0.515,0.0,0.0,0.0,1.0
GA,50,15,0.512,0.0,0.0,0.0,1.0
GA,50,15,0.509,0.0,0.0,0.0,1.0
GA,100,30,1.022,0.0,0.0,0.0,1.0
GA,100,30,1.026,0.0,0.0,0.0,1.0
GA,100,30,1.018,0.0,0.0,0.0,1.0
GA,100,30,1.025,0.0,0.0,0.0,1.0
GA,100,30,1.019,0.0,0.0,0.0,1.0
GA,10,3,0.013,0.0,0.0,0.0,1.0
GA,10,3,0.009,0.0,0.0,0.0,1.0
GA,10,3,0.009,0.0,0.0,0.0,1.0
GA,10,3,0.007,0.0,0.0,0.0,1.0
GA,10,3,0.008,0.0,0.0,0.0,1.0
