Algorithm,Scenario,Metric,Mean,StdDev,Min,Max,Count
GA_Medium,ALL,ResourceUtilCPU,0.0,0.0,0.0,0.0,5
GA_Medium,ALL,ResourceUtilRAM,0.0,0.0,0.0,0.0,5
GA_Medium,ALL,PowerConsumption,3220.0,0.0,3220.0,3220.0,5
GA_Medium,ALL,ExecutionTime,0.5126000000000001,0.002059126028197402,0.509,0.515,5
HO_Medium,ALL,ResourceUtilCPU,0.0,0.0,0.0,0.0,5
HO_Medium,ALL,ResourceUtilRAM,0.0,0.0,0.0,0.0,5
HO_Medium,ALL,PowerConsumption,3220.0,0.0,3220.0,3220.0,5
HO_Medium,ALL,ExecutionTime,0.54,0.006603029607687676,0.531,0.549,5
FirstFit_Large,ALL,ResourceUtilCPU,0.0,0.0,0.0,0.0,5
FirstFit_Large,ALL,ResourceUtilRAM,0.0,0.0,0.0,0.0,5
FirstFit_Large,ALL,PowerConsumption,6405.0,0.0,6405.0,6405.0,5
FirstFit_Large,ALL,ExecutionTime,1.0228,0.006046486583132431,1.017,1.034,5
FirstFit_XLarge,ALL,ResourceUtilCPU,0.0,0.0,0.0,0.0,5
FirstFit_XLarge,ALL,ResourceUtilRAM,0.0,0.0,0.0,0.0,5
FirstFit_XLarge,ALL,PowerConsumption,10675.0,0.0,10675.0,10675.0,5
FirstFit_XLarge,ALL,ExecutionTime,2.0344,0.005953150426454831,2.028,2.042,5
HO_Micro,ALL,ResourceUtilCPU,0.0,0.0,0.0,0.0,5
HO_Micro,ALL,ResourceUtilRAM,0.0,0.0,0.0,0.0,5
HO_Micro,ALL,PowerConsumption,700.0,0.0,700.0,700.0,5
HO_Micro,ALL,ExecutionTime,0.0492,0.042752309879116476,0.021,0.134,5
HO_XLarge,ALL,ResourceUtilCPU,0.0,0.0,0.0,0.0,5
HO_XLarge,ALL,ResourceUtilRAM,0.0,0.0,0.0,0.0,5
HO_XLarge,ALL,PowerConsumption,10675.0,0.0,10675.0,10675.0,5
HO_XLarge,ALL,ExecutionTime,2.2134,0.019612241075410125,2.194,2.248,5
GA_Small,ALL,ResourceUtilCPU,0.0,0.0,0.0,0.0,5
GA_Small,ALL,ResourceUtilRAM,0.0,0.0,0.0,0.0,5
GA_Small,ALL,PowerConsumption,1750.0,0.0,1750.0,1750.0,5
GA_Small,ALL,ExecutionTime,0.31,8.944271909999167E-4,0.309,0.311,5
GA_Micro,ALL,ResourceUtilCPU,0.0,0.0,0.0,0.0,5
GA_Micro,ALL,ResourceUtilRAM,0.0,0.0,0.0,0.0,5
GA_Micro,ALL,PowerConsumption,700.0,0.0,700.0,700.0,5
GA_Micro,ALL,ExecutionTime,0.0092,0.002039607805437114,0.007,0.013,5
HO_Small,ALL,ResourceUtilCPU,0.0,0.0,0.0,0.0,5
HO_Small,ALL,ResourceUtilRAM,0.0,0.0,0.0,0.0,5
HO_Small,ALL,PowerConsumption,1750.0,0.0,1750.0,1750.0,5
HO_Small,ALL,ExecutionTime,0.3338,0.008133879763065094,0.323,0.345,5
FirstFit_Small,ALL,ResourceUtilCPU,0.0,0.0,0.0,0.0,5
FirstFit_Small,ALL,ResourceUtilRAM,0.0,0.0,0.0,0.0,5
FirstFit_Small,ALL,PowerConsumption,1750.0,0.0,1750.0,1750.0,5
FirstFit_Small,ALL,ExecutionTime,0.30920000000000003,0.0019390719429665333,0.307,0.312,5
FirstFit_Medium,ALL,ResourceUtilCPU,0.0,0.0,0.0,0.0,5
FirstFit_Medium,ALL,ResourceUtilRAM,0.0,0.0,0.0,0.0,5
FirstFit_Medium,ALL,PowerConsumption,3220.0,0.0,3220.0,3220.0,5
FirstFit_Medium,ALL,ExecutionTime,0.511,0.0033466401061363056,0.507,0.515,5
GA_XLarge,ALL,ResourceUtilCPU,0.0,0.0,0.0,0.0,5
GA_XLarge,ALL,ResourceUtilRAM,0.0,0.0,0.0,0.0,5
GA_XLarge,ALL,PowerConsumption,10675.0,0.0,10675.0,10675.0,5
GA_XLarge,ALL,ExecutionTime,2.0462,0.004166533331199908,2.04,2.051,5
FirstFit_Micro,ALL,ResourceUtilCPU,0.0,0.0,0.0,0.0,5
FirstFit_Micro,ALL,ResourceUtilRAM,0.0,0.0,0.0,0.0,5
FirstFit_Micro,ALL,PowerConsumption,700.0,0.0,700.0,700.0,5
FirstFit_Micro,ALL,ExecutionTime,0.01,0.0031622776601683794,0.007,0.016,5
GA_Large,ALL,ResourceUtilCPU,0.0,0.0,0.0,0.0,5
GA_Large,ALL,ResourceUtilRAM,0.0,0.0,0.0,0.0,5
GA_Large,ALL,PowerConsumption,6405.0,0.0,6405.0,6405.0,5
GA_Large,ALL,ExecutionTime,1.0219999999999998,0.003162277660168382,1.018,1.026,5
HO_Large,ALL,ResourceUtilCPU,0.0,0.0,0.0,0.0,5
HO_Large,ALL,ResourceUtilRAM,0.0,0.0,0.0,0.0,5
HO_Large,ALL,PowerConsumption,6405.0,0.0,6405.0,6405.0,5
HO_Large,ALL,ExecutionTime,1.1084,0.021228283020536504,1.083,1.146,5
