Algorithm,Scenario,Replication,Iteration,BestFitness,AverageFitness,PopulationDiversity,ImprovementRate,Timestamp
HO,Micro,0,22,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Micro,1,32,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Micro,2,26,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Micro,3,12,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Micro,4,22,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Micro,5,12,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Micro,6,34,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Micro,7,31,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Micro,8,32,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Micro,9,12,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Small,0,101,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Small,1,101,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Small,2,101,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Small,3,101,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Small,4,101,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Small,5,101,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Small,6,101,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Small,7,101,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Small,8,101,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Small,9,101,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Medium,0,101,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Medium,1,101,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Medium,2,78,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Medium,3,47,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Medium,4,101,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Medium,5,101,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Medium,6,42,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Medium,7,101,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Medium,8,41,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
HO,Medium,9,101,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
GA,Micro,0,26,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
GA,Micro,1,26,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
GA,Micro,2,11,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
GA,Micro,3,12,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4102367
GA,Micro,4,11,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4252262
GA,Micro,5,20,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4252262
GA,Micro,6,27,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4264505
GA,Micro,7,29,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4264505
GA,Micro,8,21,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4264505
GA,Micro,9,27,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4264505
GA,Small,0,24,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4273348
GA,Small,1,16,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4273348
GA,Small,2,22,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4273348
GA,Small,3,17,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4273348
GA,Small,4,17,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4273348
GA,Small,5,29,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4273348
GA,Small,6,11,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4273348
GA,Small,7,21,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4273348
GA,Small,8,18,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4273348
GA,Small,9,14,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4273348
GA,Medium,0,14,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4273348
GA,Medium,1,23,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4273348
GA,Medium,2,14,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4273348
GA,Medium,3,17,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4273348
GA,Medium,4,18,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4273348
GA,Medium,5,24,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4273348
GA,Medium,6,15,0.000000,0.000000,0.0000,0.000000,2025-09-03T17:13:04.4273348
