AlphaValue,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,LeaderInfluence
0.50,Micro,0.3261,0.2289,980.00,0.1252,0.55
0.50,Small,0.7165,0.5356,2310.00,0.6210,0.55
0.50,Medium,0.7061,0.5424,4620.00,1.1623,0.55
0.60,Micro,0.3261,0.2289,980.00,0.1252,0.64
0.60,Small,0.7165,0.5356,2310.00,0.6210,0.64
0.60,Medium,0.7061,0.5424,4620.00,1.1623,0.64
0.70,Micro,0.3261,0.2289,980.00,0.1252,0.73
0.70,Small,0.7165,0.5356,2310.00,0.6210,0.73
0.70,Medium,0.7061,0.5424,4620.00,1.1623,0.73
0.75,Micro,0.3261,0.2289,980.00,0.1252,0.78
0.75,Small,0.7165,0.5356,2310.00,0.6210,0.78
0.75,Medium,0.7061,0.5424,4620.00,1.1623,0.78
0.80,Micro,0.3261,0.2289,980.00,0.1252,0.82
0.80,Small,0.7165,0.5356,2310.00,0.6210,0.82
0.80,Medium,0.7061,0.5424,4620.00,1.1623,0.82
0.90,Micro,0.3261,0.2289,980.00,0.1252,0.91
0.90,Small,0.7165,0.5356,2310.00,0.6210,0.91
0.90,Medium,0.7061,0.5424,4620.00,1.1623,0.91
