BetaValue,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ExplorationLevel
0.10,Micro,0.3261,0.2289,980.00,0.1252,0.20
0.10,Small,0.7165,0.5356,2310.00,0.6210,0.20
0.10,Medium,0.7061,0.5424,4620.00,1.1623,0.20
0.15,Micro,0.3261,0.2289,980.00,0.1252,0.30
0.15,Small,0.7165,0.5356,2310.00,0.6210,0.30
0.15,Medium,0.7061,0.5424,4620.00,1.1623,0.30
0.20,Micro,0.3261,0.2289,980.00,0.1252,0.40
0.20,Small,0.7165,0.5356,2310.00,0.6210,0.40
0.20,Medium,0.7061,0.5424,4620.00,1.1623,0.40
0.25,Micro,0.3261,0.2289,980.00,0.1252,0.50
0.25,Small,0.7165,0.5356,2310.00,0.6210,0.50
0.25,Medium,0.7061,0.5424,4620.00,1.1623,0.50
0.30,Micro,0.3261,0.2289,980.00,0.1252,0.60
0.30,Small,0.7165,0.5356,2310.00,0.6210,0.60
0.30,Medium,0.7061,0.5424,4620.00,1.1623,0.60
0.40,Micro,0.3261,0.2289,980.00,0.1252,0.80
0.40,Small,0.7165,0.5356,2310.00,0.6210,0.80
0.40,Medium,0.7061,0.5424,4620.00,1.1623,0.80
