GammaValue,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ExploitationLevel
0.05,Micro,0.3261,0.2289,980.00,0.1252,0.15
0.05,Small,0.7165,0.5356,2310.00,0.6210,0.15
0.05,Medium,0.7061,0.5424,4620.00,1.1623,0.15
0.10,Micro,0.3261,0.2289,980.00,0.1252,0.30
0.10,Small,0.7165,0.5356,2310.00,0.6210,0.30
0.10,Medium,0.7061,0.5424,4620.00,1.1623,0.30
0.15,Micro,0.3261,0.2289,980.00,0.1252,0.45
0.15,Small,0.7165,0.5356,2310.00,0.6210,0.45
0.15,Medium,0.7061,0.5424,4620.00,1.1623,0.45
0.20,Micro,0.3261,0.2289,980.00,0.1252,0.60
0.20,Small,0.7165,0.5356,2310.00,0.6210,0.60
0.20,Medium,0.7061,0.5424,4620.00,1.1623,0.60
0.25,Micro,0.3261,0.2289,980.00,0.1252,0.75
0.25,Small,0.7165,0.5356,2310.00,0.6210,0.75
0.25,Medium,0.7061,0.5424,4620.00,1.1623,0.75
0.30,Micro,0.3261,0.2289,980.00,0.1252,0.90
0.30,Small,0.7165,0.5356,2310.00,0.6210,0.90
0.30,Medium,0.7061,0.5424,4620.00,1.1623,0.90
