PopulationSize,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ConvergenceRate
50,Micro,0.3261,0.2289,980.00,0.1252,0.85
50,Small,0.7165,0.5356,2310.00,0.6210,0.85
50,Medium,0.7061,0.5424,4620.00,1.1623,0.85
75,Micro,0.3261,0.2289,980.00,0.1252,0.95
75,Small,0.7165,0.5356,2310.00,0.6210,0.95
75,Medium,0.7061,0.5424,4620.00,1.1623,0.95
100,Micro,0.3261,0.2289,980.00,0.1252,0.95
100,Small,0.7165,0.5356,2310.00,0.6210,0.95
100,Medium,0.7061,0.5424,4620.00,1.1623,0.95
120,Micro,0.3261,0.2289,980.00,0.1252,0.95
120,Small,0.7165,0.5356,2310.00,0.6210,0.95
120,Medium,0.7061,0.5424,4620.00,1.1623,0.95
150,Micro,0.3261,0.2289,980.00,0.1252,0.95
150,Small,0.7165,0.5356,2310.00,0.6210,0.95
150,Medium,0.7061,0.5424,4620.00,1.1623,0.95
200,Micro,0.3261,0.2289,980.00,0.1252,0.95
200,Small,0.7165,0.5356,2310.00,0.6210,0.95
200,Medium,0.7061,0.5424,4620.00,1.1623,0.95
