Algorithm,Scenario,Replication,ResourceUtilCPU,ResourceUtilRAM,PowerConsumption,SLAViolations,ExecutionTime,ConvergenceIterations,VmAllocated,VmTotal,Timestamp
HO,Micro,0,0.2722,0.1836,980.00,0,0.45,22,10,10,2025-09-03T17:11:49.9272703
HO,Micro,1,0.2984,0.2070,980.00,0,0.12,32,10,10,2025-09-03T17:11:50.1615755
HO,Micro,2,0.3287,0.2383,980.00,0,0.08,26,10,10,2025-09-03T17:11:50.361245
HO,Micro,3,0.2909,0.2031,980.00,0,0.08,12,10,10,2025-09-03T17:11:50.5605488
HO,Micro,4,0.3542,0.2539,980.00,0,0.08,22,10,10,2025-09-03T17:11:50.7475188
HO,Micro,5,0.4221,0.2773,980.00,0,0.09,12,10,10,2025-09-03T17:11:50.9438001
HO,Micro,6,0.2723,0.1914,980.00,0,0.08,34,10,10,2025-09-03T17:11:51.1348779
HO,Micro,7,0.3578,0.2578,980.00,0,0.10,31,10,10,2025-09-03T17:11:51.3420797
HO,Micro,8,0.3171,0.2227,980.00,0,0.09,32,10,10,2025-09-03T17:11:51.5458295
HO,Micro,9,0.3476,0.2539,980.00,0,0.08,12,10,10,2025-09-03T17:11:51.7416019
FirstFit,Micro,0,0.3648,0.2578,980.00,0,0.08,1,10,10,2025-09-03T17:11:51.9283323
FirstFit,Micro,1,0.3648,0.2578,980.00,0,0.08,1,10,10,2025-09-03T17:11:52.1127175
FirstFit,Micro,2,0.3479,0.2578,980.00,0,0.08,1,10,10,2025-09-03T17:11:52.299079
FirstFit,Micro,3,0.3597,0.2578,980.00,0,0.08,1,10,10,2025-09-03T17:11:52.4957051
FirstFit,Micro,4,0.3593,0.2578,980.00,0,0.08,1,10,10,2025-09-03T17:11:52.6840782
FirstFit,Micro,5,0.4723,0.3203,980.00,0,0.08,1,10,10,2025-09-03T17:11:52.8698452
FirstFit,Micro,6,0.4737,0.3203,980.00,0,0.07,1,10,10,2025-09-03T17:11:53.0622776
FirstFit,Micro,7,0.3578,0.2578,980.00,0,0.08,1,10,10,2025-09-03T17:11:53.2475998
FirstFit,Micro,8,0.3532,0.2578,980.00,0,0.08,1,10,10,2025-09-03T17:11:53.4286306
