Scenario,Metric,Algorithm,Rank,Score,Percentage
Micro,ResourceUtilCPU,GA,1,0.4178,100.00
Micro,ResourceUtilCPU,FirstFit,2,0.3930,47.95
Micro,ResourceUtilCPU,HO,3,0.3701,0.00
Micro,ResourceUtilRAM,GA,1,0.2891,100.00
Micro,ResourceUtilRAM,FirstFit,2,0.2766,62.35
Micro,ResourceUtilRAM,HO,3,0.2559,0.00
Micro,PowerConsumption,FirstFit,1,980.0000,100.00
Micro,PowerConsumption,HO,2,980.0000,100.00
Micro,PowerConsumption,GA,3,980.0000,100.00
Micro,ExecutionTime,FirstFit,1,0.0678,100.00
Micro,ExecutionTime,GA,2,0.0687,98.20
Micro,ExecutionTime,HO,3,0.1177,-0.00
Small,ResourceUtilCPU,FirstFit,1,0.7522,100.00
Small,ResourceUtilCPU,GA,2,0.7520,99.84
Small,ResourceUtilCPU,HO,3,0.6316,0.00
Small,ResourceUtilRAM,FirstFit,1,0.5653,100.00
Small,ResourceUtilRAM,GA,2,0.5652,99.80
Small,ResourceUtilRAM,HO,3,0.4872,0.00
Small,PowerConsumption,FirstFit,1,2310.0000,100.00
Small,PowerConsumption,HO,2,2310.0000,100.00
Small,PowerConsumption,GA,3,2310.0000,100.00
Small,ExecutionTime,GA,1,0.6050,100.00
Small,ExecutionTime,FirstFit,2,0.6088,100.00
Small,ExecutionTime,HO,3,481.4395,-0.00
Medium,ResourceUtilCPU,GA,1,0.7361,100.00
Medium,ResourceUtilCPU,FirstFit,2,0.7357,98.79
Medium,ResourceUtilCPU,HO,3,0.7033,0.00
Medium,ResourceUtilRAM,GA,1,0.5625,100.00
Medium,ResourceUtilRAM,FirstFit,2,0.5622,98.32
Medium,ResourceUtilRAM,HO,3,0.5439,0.00
Medium,PowerConsumption,FirstFit,1,4620.0000,100.00
Medium,PowerConsumption,HO,2,4620.0000,100.00
Medium,PowerConsumption,GA,3,4620.0000,100.00
Medium,ExecutionTime,GA,1,1.1358,100.00
Medium,ExecutionTime,FirstFit,2,1.1391,100.00
Medium,ExecutionTime,HO,3,542.0750,-0.00
