Algorithm1,Algorithm2,Scenario,Metric,Mean1,Mean2,Difference,PercentageDiff,BetterAlgorithm
HO,FirstFit,Micro,ResourceUtilCPU,0.3701,0.3930,-0.0229,-5.83,FirstFit
HO,FirstFit,Micro,ResourceUtilRAM,0.2559,0.2766,-0.0207,-7.49,FirstFit
HO,FirstFit,Micro,PowerConsumption,980.0000,980.0000,0.0000,0.00,FirstFit
HO,FirstFit,Micro,ExecutionTime,0.1177,0.0678,0.0499,73.60,FirstFit
HO,FirstFit,Small,ResourceUtilCPU,0.6316,0.7522,-0.1206,-16.03,FirstFit
HO,FirstFit,Small,ResourceUtilRAM,0.4872,0.5653,-0.0781,-13.82,FirstFit
HO,FirstFit,Small,PowerConsumption,2310.0000,2310.0000,0.0000,0.00,FirstFit
HO,FirstFit,Small,ExecutionTime,481.4395,0.6088,480.8307,78980.08,FirstFit
HO,FirstFit,Medium,ResourceUtilCPU,0.7033,0.7357,-0.0324,-4.41,FirstFit
HO,FirstFit,Medium,ResourceUtilRAM,0.5439,0.5622,-0.0183,-3.25,FirstFit
HO,FirstFit,Medium,PowerConsumption,4620.0000,4620.0000,0.0000,0.00,FirstFit
HO,FirstFit,Medium,ExecutionTime,542.0750,1.1391,540.9359,47488.01,FirstFit
HO,GA,Micro,ResourceUtilCPU,0.3701,0.4178,-0.0478,-11.43,GA
HO,GA,Micro,ResourceUtilRAM,0.2559,0.2891,-0.0332,-11.49,GA
HO,GA,Micro,PowerConsumption,980.0000,980.0000,0.0000,0.00,GA
HO,GA,Micro,ExecutionTime,0.1177,0.0687,0.0490,71.32,GA
HO,GA,Small,ResourceUtilCPU,0.6316,0.7520,-0.1204,-16.01,GA
HO,GA,Small,ResourceUtilRAM,0.4872,0.5652,-0.0780,-13.80,GA
HO,GA,Small,PowerConsumption,2310.0000,2310.0000,0.0000,0.00,GA
HO,GA,Small,ExecutionTime,481.4395,0.6050,480.8345,79476.78,GA
HO,GA,Medium,ResourceUtilCPU,0.7033,0.7361,-0.0328,-4.46,GA
HO,GA,Medium,ResourceUtilRAM,0.5439,0.5625,-0.0186,-3.31,GA
HO,GA,Medium,PowerConsumption,4620.0000,4620.0000,0.0000,0.00,GA
HO,GA,Medium,ExecutionTime,542.0750,1.1358,540.9392,47626.27,GA
FirstFit,GA,Micro,ResourceUtilCPU,0.3930,0.4178,-0.0249,-5.95,GA
FirstFit,GA,Micro,ResourceUtilRAM,0.2766,0.2891,-0.0125,-4.32,GA
FirstFit,GA,Micro,PowerConsumption,980.0000,980.0000,0.0000,0.00,GA
FirstFit,GA,Micro,ExecutionTime,0.0678,0.0687,-0.0009,-1.31,FirstFit
FirstFit,GA,Small,ResourceUtilCPU,0.7522,0.7520,0.0002,0.03,FirstFit
FirstFit,GA,Small,ResourceUtilRAM,0.5653,0.5652,0.0002,0.03,FirstFit
FirstFit,GA,Small,PowerConsumption,2310.0000,2310.0000,0.0000,0.00,GA
FirstFit,GA,Small,ExecutionTime,0.6088,0.6050,0.0038,0.63,GA
FirstFit,GA,Medium,ResourceUtilCPU,0.7357,0.7361,-0.0004,-0.05,GA
FirstFit,GA,Medium,ResourceUtilRAM,0.5622,0.5625,-0.0003,-0.06,GA
FirstFit,GA,Medium,PowerConsumption,4620.0000,4620.0000,0.0000,0.00,GA
FirstFit,GA,Medium,ExecutionTime,1.1391,1.1358,0.0033,0.29,GA
