Algorithm,Scenario,Replication,Iteration,BestFitness,AverageFitness,PopulationDiversity,ImprovementRate,Timestamp
HO,Micro,0,32,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.056823
HO,Micro,1,12,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.056823
HO,Micro,2,12,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.056823
HO,Micro,3,12,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.056823
HO,Micro,4,22,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.056823
HO,Micro,5,12,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.056823
HO,Micro,6,27,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0690956
HO,Micro,7,34,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0690956
HO,Micro,8,40,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0701051
HO,Micro,9,12,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Small,0,51,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Small,1,101,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Small,2,101,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Small,3,20,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Small,4,34,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Small,5,101,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Small,6,20,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Small,7,101,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Small,8,101,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Small,9,101,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Medium,0,101,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Medium,1,101,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Medium,2,55,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Medium,3,101,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Medium,4,101,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Medium,5,101,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Medium,6,101,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Medium,7,101,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Medium,8,101,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
HO,Medium,9,101,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
GA,Micro,0,28,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
GA,Micro,1,14,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
GA,Micro,2,14,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
GA,Micro,3,17,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
GA,Micro,4,23,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
GA,Micro,5,29,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
GA,Micro,6,10,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
GA,Micro,7,29,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
GA,Micro,8,12,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
GA,Micro,9,29,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
GA,Small,0,13,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
GA,Small,1,23,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
GA,Small,2,20,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
GA,Small,3,21,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
GA,Small,4,25,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
GA,Small,5,16,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
GA,Small,6,13,0.000000,0.000000,0.0000,0.000000,2025-09-02T20:38:12.0710379
