AlphaValue,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,LeaderInfluence
0.50,Micro,0.3701,0.2559,980.00,0.1177,0.55
0.50,Small,0.6316,0.4872,2310.00,481.4395,0.55
0.50,Medium,0.7033,0.5439,4620.00,542.0750,0.55
0.60,Micro,0.3701,0.2559,980.00,0.1177,0.64
0.60,Small,0.6316,0.4872,2310.00,481.4395,0.64
0.60,Medium,0.7033,0.5439,4620.00,542.0750,0.64
0.70,Micro,0.3701,0.2559,980.00,0.1177,0.73
0.70,Small,0.6316,0.4872,2310.00,481.4395,0.73
0.70,Medium,0.7033,0.5439,4620.00,542.0750,0.73
0.75,Micro,0.3701,0.2559,980.00,0.1177,0.78
0.75,Small,0.6316,0.4872,2310.00,481.4395,0.78
0.75,Medium,0.7033,0.5439,4620.00,542.0750,0.78
0.80,Micro,0.3701,0.2559,980.00,0.1177,0.82
0.80,Small,0.6316,0.4872,2310.00,481.4395,0.82
0.80,Medium,0.7033,0.5439,4620.00,542.0750,0.82
0.90,Micro,0.3701,0.2559,980.00,0.1177,0.91
0.90,Small,0.6316,0.4872,2310.00,481.4395,0.91
0.90,Medium,0.7033,0.5439,4620.00,542.0750,0.91
