BetaValue,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ExplorationLevel
0.10,Micro,0.3701,0.2559,980.00,0.1177,0.20
0.10,Small,0.6316,0.4872,2310.00,481.4395,0.20
0.10,Medium,0.7033,0.5439,4620.00,542.0750,0.20
0.15,Micro,0.3701,0.2559,980.00,0.1177,0.30
0.15,Small,0.6316,0.4872,2310.00,481.4395,0.30
0.15,Medium,0.7033,0.5439,4620.00,542.0750,0.30
0.20,Micro,0.3701,0.2559,980.00,0.1177,0.40
0.20,Small,0.6316,0.4872,2310.00,481.4395,0.40
0.20,Medium,0.7033,0.5439,4620.00,542.0750,0.40
0.25,Micro,0.3701,0.2559,980.00,0.1177,0.50
0.25,Small,0.6316,0.4872,2310.00,481.4395,0.50
0.25,Medium,0.7033,0.5439,4620.00,542.0750,0.50
0.30,Micro,0.3701,0.2559,980.00,0.1177,0.60
0.30,Small,0.6316,0.4872,2310.00,481.4395,0.60
0.30,Medium,0.7033,0.5439,4620.00,542.0750,0.60
0.40,Micro,0.3701,0.2559,980.00,0.1177,0.80
0.40,Small,0.6316,0.4872,2310.00,481.4395,0.80
0.40,Medium,0.7033,0.5439,4620.00,542.0750,0.80
