MaxIterations,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ConvergenceQuality
80,Micro,0.3701,0.2559,980.00,0.1177,0.66
80,Small,0.6316,0.4872,2310.00,481.4395,0.66
80,Medium,0.7033,0.5439,4620.00,542.0750,0.66
120,Micro,0.3701,0.2559,980.00,0.1177,0.74
120,Small,0.6316,0.4872,2310.00,481.4395,0.74
120,Medium,0.7033,0.5439,4620.00,542.0750,0.74
150,Micro,0.3701,0.2559,980.00,0.1177,0.80
150,Small,0.6316,0.4872,2310.00,481.4395,0.80
150,Medium,0.7033,0.5439,4620.00,542.0750,0.80
200,Micro,0.3701,0.2559,980.00,0.1177,0.90
200,Small,0.6316,0.4872,2310.00,481.4395,0.90
200,Medium,0.7033,0.5439,4620.00,542.0750,0.90
250,Micro,0.3701,0.2559,980.00,0.1177,0.98
250,Small,0.6316,0.4872,2310.00,481.4395,0.98
250,Medium,0.7033,0.5439,4620.00,542.0750,0.98
300,Micro,0.3701,0.2559,980.00,0.1177,0.98
300,Small,0.6316,0.4872,2310.00,481.4395,0.98
300,Medium,0.7033,0.5439,4620.00,542.0750,0.98
