PopulationSize,Scenario,AvgCPUUtil,AvgRAMUtil,AvgPower,AvgExecTime,ConvergenceRate
50,Micro,0.3701,0.2559,980.00,0.1177,0.85
50,Small,0.6316,0.4872,2310.00,481.4395,0.85
50,Medium,0.7033,0.5439,4620.00,542.0750,0.85
75,Micro,0.3701,0.2559,980.00,0.1177,0.95
75,Small,0.6316,0.4872,2310.00,481.4395,0.95
75,Medium,0.7033,0.5439,4620.00,542.0750,0.95
100,Micro,0.3701,0.2559,980.00,0.1177,0.95
100,Small,0.6316,0.4872,2310.00,481.4395,0.95
100,Medium,0.7033,0.5439,4620.00,542.0750,0.95
120,Micro,0.3701,0.2559,980.00,0.1177,0.95
120,Small,0.6316,0.4872,2310.00,481.4395,0.95
120,Medium,0.7033,0.5439,4620.00,542.0750,0.95
150,Micro,0.3701,0.2559,980.00,0.1177,0.95
150,Small,0.6316,0.4872,2310.00,481.4395,0.95
150,Medium,0.7033,0.5439,4620.00,542.0750,0.95
200,Micro,0.3701,0.2559,980.00,0.1177,0.95
200,Small,0.6316,0.4872,2310.00,481.4395,0.95
200,Medium,0.7033,0.5439,4620.00,542.0750,0.95
