Algorithm,Scenario,Replication,ResourceUtilCPU,ResourceUtilRAM,PowerConsumption,SLAViolations,ExecutionTime,ConvergenceIterations,VmAllocated,VmTotal,Timestamp
HO,Micro,0,0.3494,0.2422,980.00,10,0.45,32,10,10,2025-09-02T17:46:38.8024716
HO,Micro,1,0.3075,0.2031,980.00,10,0.08,12,10,10,2025-09-02T17:46:38.9971905
HO,Micro,2,0.4245,0.2773,980.00,10,0.07,12,10,10,2025-09-02T17:46:39.1826561
HO,Micro,3,0.3597,0.2578,980.00,10,0.08,12,10,10,2025-09-02T17:46:39.3813551
HO,Micro,4,0.3593,0.2578,980.00,10,0.10,22,10,10,2025-09-02T17:46:39.5887743
HO,Micro,5,0.4271,0.2813,980.00,10,0.09,12,10,10,2025-09-02T17:46:39.7826179
HO,Micro,6,0.3441,0.2539,980.00,10,0.08,27,10,10,2025-09-02T17:46:39.9673479
HO,Micro,7,0.3039,0.2109,980.00,10,0.08,34,10,10,2025-09-02T17:46:40.1555956
HO,Micro,8,0.4726,0.3164,980.00,10,0.07,40,10,10,2025-09-02T17:46:40.3502497
HO,Micro,9,0.3523,0.2578,980.00,10,0.08,12,10,10,2025-09-02T17:46:40.5345019
FirstFit,Micro,0,0.3648,0.2578,980.00,10,0.08,1,10,10,2025-09-02T17:46:40.7155383
FirstFit,Micro,1,0.3648,0.2578,980.00,10,0.06,1,10,10,2025-09-02T17:46:40.8940736
FirstFit,Micro,2,0.3479,0.2578,980.00,10,0.06,1,10,10,2025-09-02T17:46:41.0811614
FirstFit,Micro,3,0.3597,0.2578,980.00,10,0.07,1,10,10,2025-09-02T17:46:41.2566947
FirstFit,Micro,4,0.3593,0.2578,980.00,10,0.08,1,10,10,2025-09-02T17:46:41.449959
FirstFit,Micro,5,0.4723,0.3203,980.00,10,0.06,1,10,10,2025-09-02T17:46:41.6291579
FirstFit,Micro,6,0.4737,0.3203,980.00,10,0.07,1,10,10,2025-09-02T17:46:41.8139181
FirstFit,Micro,7,0.3578,0.2578,980.00,10,0.07,1,10,10,2025-09-02T17:46:41.9978377
FirstFit,Micro,8,0.3532,0.2578,980.00,10,0.08,1,10,10,2025-09-02T17:46:42.181912
FirstFit,Micro,9,0.4761,0.3203,980.00,10,0.06,1,10,10,2025-09-02T17:46:42.3660359
GA,Micro,0,0.3648,0.2578,980.00,10,0.08,28,10,10,2025-09-02T17:46:42.5506748
GA,Micro,1,0.3648,0.2578,980.00,10,0.06,14,10,10,2025-09-02T17:46:42.7283795
GA,Micro,2,0.4718,0.3203,980.00,10,0.07,14,10,10,2025-09-02T17:46:42.9160862
GA,Micro,3,0.3597,0.2578,980.00,10,0.06,17,10,10,2025-09-02T17:46:43.0977042
GA,Micro,4,0.3593,0.2578,980.00,10,0.06,23,10,10,2025-09-02T17:46:43.2835164
GA,Micro,5,0.4723,0.3203,980.00,10,0.06,29,10,10,2025-09-02T17:46:43.4608609
GA,Micro,6,0.4737,0.3203,980.00,10,0.06,10,10,10,2025-09-02T17:46:43.6456729
GA,Micro,7,0.3578,0.2578,980.00,10,0.07,29,10,10,2025-09-02T17:46:43.8305724
GA,Micro,8,0.4780,0.3203,980.00,10,0.08,12,10,10,2025-09-02T17:46:44.0233655
GA,Micro,9,0.4761,0.3203,980.00,10,0.08,29,10,10,2025-09-02T17:46:44.2155737
HO,Small,0,0.6609,0.4953,2310.00,0,601.52,51,48,48,2025-09-02T17:56:48.8982904
HO,Small,1,0.7030,0.5406,2310.00,50,0.62,101,50,50,2025-09-02T17:56:49.6310454
HO,Small,2,0.6706,0.5203,2310.00,0,601.78,101,48,48,2025-09-02T18:06:51.5390142
HO,Small,3,0.6333,0.5000,2310.00,0,601.77,20,48,48,2025-09-02T18:16:53.4288699
HO,Small,4,0.5912,0.4484,2310.00,0,601.32,34,47,47,2025-09-02T18:26:54.8955337
HO,Small,5,0.7410,0.5766,2310.00,0,601.88,101,47,47,2025-09-02T18:36:56.9152669
HO,Small,6,0.6828,0.5250,2310.00,0,601.67,20,48,48,2025-09-02T18:46:58.6922327
HO,Small,7,0.7050,0.5391,2310.00,0,601.45,101,47,47,2025-09-02T18:57:00.2633495
HO,Small,8,0.2127,0.1938,2310.00,0,601.78,101,10,10,2025-09-02T19:07:02.1583415
HO,Small,9,0.7158,0.5328,2310.00,50,0.63,101,50,50,2025-09-02T19:07:02.8931782
FirstFit,Small,0,0.7579,0.5594,2310.00,50,0.61,1,50,50,2025-09-02T19:07:03.6128734
FirstFit,Small,1,0.7579,0.5594,2310.00,50,0.61,1,50,50,2025-09-02T19:07:04.3303373
FirstFit,Small,2,0.7476,0.5578,2310.00,50,0.61,1,50,50,2025-09-02T19:07:05.0442019
FirstFit,Small,3,0.7500,0.5547,2310.00,50,0.61,1,50,50,2025-09-02T19:07:05.760468
FirstFit,Small,4,0.7556,0.5813,2310.00,50,0.61,1,50,50,2025-09-02T19:07:06.4773777
FirstFit,Small,5,0.7535,0.5891,2310.00,50,0.61,1,50,50,2025-09-02T19:07:07.1934812
FirstFit,Small,6,0.7478,0.5766,2310.00,50,0.61,1,50,50,2025-09-02T19:07:07.9112476
FirstFit,Small,7,0.7443,0.5484,2310.00,50,0.61,1,50,50,2025-09-02T19:07:08.6440045
FirstFit,Small,8,0.7541,0.5672,2310.00,50,0.59,1,50,50,2025-09-02T19:07:09.34382
FirstFit,Small,9,0.7532,0.5594,2310.00,50,0.61,1,50,50,2025-09-02T19:07:10.0751793
GA,Small,0,0.7579,0.5594,2310.00,50,0.62,13,50,50,2025-09-02T19:07:10.801488
GA,Small,1,0.7579,0.5594,2310.00,50,0.60,23,50,50,2025-09-02T19:07:11.5099838
GA,Small,2,0.7476,0.5578,2310.00,50,0.61,20,50,50,2025-09-02T19:07:12.2255297
GA,Small,3,0.7481,0.5531,2310.00,50,0.63,21,50,50,2025-09-02T19:07:12.9606275
