Algorithm,Scenario,Metric,Mean,StdDev,Min,Max,Count
GA_Medium,ALL,ResourceUtilCPU,0.7361228125,0.005803020691225826,0.726778125,0.7467979166666666,10
GA_Medium,ALL,ResourceUtilRAM,0.5625,0.00874860479948087,0.54609375,0.575,10
GA_Medium,ALL,PowerConsumption,4620.0,0.0,4620.0,4620.0,10
GA_Medium,ALL,ExecutionTime,1.1358000000000001,0.013955644019535555,1.112,1.15,10
HO_Medium,ALL,ResourceUtilCPU,0.7033083058261183,0.017668350440528197,0.6647749999999999,0.7277912233599733,10
HO_Medium,ALL,ResourceUtilRAM,0.5439033622627373,0.012181788625445137,0.5125,0.55859375,10
HO_Medium,ALL,PowerConsumption,4620.0,0.0,4620.0,4620.0,10
HO_Medium,ALL,ExecutionTime,542.075,180.30700704686993,1.155,602.683,10
FirstFit_Medium,ALL,ResourceUtilCPU,0.7357245833333333,0.0062812106514798585,0.7256385416666667,0.7467979166666667,10
FirstFit_Medium,ALL,ResourceUtilRAM,0.5621875000000001,0.009363273916611639,0.54296875,0.575,10
FirstFit_Medium,ALL,PowerConsumption,4620.0,0.0,4620.0,4620.0,10
FirstFit_Medium,ALL,ExecutionTime,1.1391,0.01217743815422602,1.12,1.158,10
HO_Micro,ALL,ResourceUtilCPU,0.3700572916666667,0.05164678228546971,0.30389583333333337,0.4726458333333333,10
HO_Micro,ALL,ResourceUtilRAM,0.255859375,0.031262204647995076,0.203125,0.31640625,10
HO_Micro,ALL,PowerConsumption,980.0,0.0,980.0,980.0,10
HO_Micro,ALL,ExecutionTime,0.1177,0.11007274867104938,0.067,0.447,10
FirstFit_Micro,ALL,ResourceUtilCPU,0.39296458333333334,0.053290764912881476,0.34787500000000005,0.476125,10
FirstFit_Micro,ALL,ResourceUtilRAM,0.2765625,0.028641098093474003,0.2578125,0.3203125,10
FirstFit_Micro,ALL,PowerConsumption,980.0,0.0,980.0,980.0,10
FirstFit_Micro,ALL,ExecutionTime,0.0678,0.0052115256883181514,0.063,0.076,10
GA_Small,ALL,ResourceUtilCPU,0.7520022916666667,0.004501233670594297,0.74433125,0.7579208333333334,10
GA_Small,ALL,ResourceUtilRAM,0.56515625,0.012422612006438113,0.5484375,0.5890625,10
GA_Small,ALL,PowerConsumption,2310.0,0.0,2310.0,2310.0,10
GA_Small,ALL,ExecutionTime,0.605,0.01203328716519307,0.583,0.628,10
GA_Micro,ALL,ResourceUtilCPU,0.4178354166666667,0.056609768616183,0.35784375,0.47796875,10
GA_Micro,ALL,ResourceUtilRAM,0.2890625,0.03125,0.2578125,0.3203125,10
GA_Micro,ALL,PowerConsumption,980.0,0.0,980.0,980.0,10
GA_Micro,ALL,ExecutionTime,0.06870000000000001,0.00828311535595153,0.059,0.081,10
HO_Small,ALL,ResourceUtilCPU,0.631624375,0.14547184519338105,0.21273749999999997,0.7410249999999999,10
HO_Small,ALL,ResourceUtilRAM,0.4871875,0.10294681575940075,0.19375,0.5765625,10
HO_Small,ALL,PowerConsumption,2310.0,0.0,2310.0,2310.0,10
HO_Small,ALL,ExecutionTime,481.43950000000007,240.4098066203831,0.615,601.881,10
FirstFit_Small,ALL,ResourceUtilCPU,0.7521975,0.004367103667700642,0.74433125,0.7579208333333333,10
FirstFit_Small,ALL,ResourceUtilRAM,0.5653125,0.012279301690242826,0.5484375,0.5890625,10
FirstFit_Small,ALL,PowerConsumption,2310.0,0.0,2310.0,2310.0,10
FirstFit_Small,ALL,ExecutionTime,0.6088,0.005827520913733391,0.593,0.614,10
