Algorithm,Scenario,Replication,ResourceUtilCPU,ResourceUtilRAM,PowerConsumption,SLAViolations,ExecutionTime,ConvergenceIterations,VmAllocated,VmTotal,Timestamp
HO,Micro,0,0.2943,0.2031,980.00,10,0.56,22,10,10,2025-08-29T16:47:45.907758
HO,Micro,1,0.3235,0.2188,980.00,10,0.08,42,10,10,2025-08-29T16:47:46.0909164
HO,Micro,2,0.3168,0.2305,980.00,10,0.06,30,10,10,2025-08-29T16:47:46.2571855
HO,Micro,3,0.2769,0.1875,980.00,10,0.06,12,10,10,2025-08-29T16:47:46.4413843
HO,Micro,4,0.3593,0.2578,980.00,10,0.06,27,10,10,2025-08-29T16:47:46.6168899
HO,Micro,5,0.4516,0.3008,980.00,10,0.06,30,10,10,2025-08-29T16:47:46.7818234
HO,Micro,6,0.3441,0.2539,980.00,10,0.07,33,10,10,2025-08-29T16:47:46.97593
HO,Micro,7,0.3578,0.2578,980.00,10,0.07,39,10,10,2025-08-29T16:47:47.1451103
HO,Micro,8,0.4509,0.2969,980.00,10,0.07,32,10,10,2025-08-29T16:47:47.3230841
HO,Micro,9,0.3470,0.2539,980.00,10,0.05,12,10,10,2025-08-29T16:47:47.4761869
FirstFit,Micro,0,0.3648,0.2578,980.00,10,0.05,1,10,10,2025-08-29T16:47:47.6400397
FirstFit,Micro,1,0.3648,0.2578,980.00,10,0.05,1,10,10,2025-08-29T16:47:47.7956559
FirstFit,Micro,2,0.3479,0.2578,980.00,10,0.04,1,10,10,2025-08-29T16:47:47.9559232
FirstFit,Micro,3,0.3597,0.2578,980.00,10,0.06,1,10,10,2025-08-29T16:47:48.1228725
FirstFit,Micro,4,0.3593,0.2578,980.00,10,0.05,1,10,10,2025-08-29T16:47:48.279299
FirstFit,Micro,5,0.4723,0.3203,980.00,10,0.05,1,10,10,2025-08-29T16:47:48.4411843
FirstFit,Micro,6,0.4737,0.3203,980.00,10,0.05,1,10,10,2025-08-29T16:47:48.6075935
FirstFit,Micro,7,0.3578,0.2578,980.00,10,0.05,1,10,10,2025-08-29T16:47:48.7742084
FirstFit,Micro,8,0.3532,0.2578,980.00,10,0.05,1,10,10,2025-08-29T16:47:48.9324318
FirstFit,Micro,9,0.4761,0.3203,980.00,10,0.04,1,10,10,2025-08-29T16:47:49.0846425
GA,Micro,0,0.3648,0.2578,980.00,10,0.05,16,10,10,2025-08-29T16:47:49.2437911
GA,Micro,1,0.3648,0.2578,980.00,10,0.05,21,10,10,2025-08-29T16:47:49.3995533
GA,Micro,2,0.4718,0.3203,980.00,10,0.05,20,10,10,2025-08-29T16:47:49.570162
GA,Micro,3,0.3597,0.2578,980.00,10,0.05,24,10,10,2025-08-29T16:47:49.7394934
GA,Micro,4,0.3593,0.2578,980.00,10,0.08,25,10,10,2025-08-29T16:47:49.9181782
GA,Micro,5,0.4723,0.3203,980.00,10,0.05,22,10,10,2025-08-29T16:47:50.0765791
GA,Micro,6,0.4737,0.3203,980.00,10,0.05,21,10,10,2025-08-29T16:47:50.2392971
GA,Micro,7,0.3578,0.2578,980.00,10,0.05,10,10,10,2025-08-29T16:47:50.3906767
GA,Micro,8,0.4780,0.3203,980.00,10,0.05,20,10,10,2025-08-29T16:47:50.5568658
GA,Micro,9,0.4761,0.3203,980.00,10,0.05,20,10,10,2025-08-29T16:47:50.7215642
